,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2018-10-20,Urho Vaakanainen,away,Boston Bruins,Vancouver Canucks,D,12.433333333333,0,0,0,0.01,0,0,0,0,0,0,1,0.35,0.87,20182019,0.452866666666656,0.452866666666656,0.452866666666656,0.452866666666656,-0.452866666666656,-0.547133333333344,-0.102866666666656,-0.417133333333344,0.005,0.0,-0.642866666666656,-0.8750041666666817,-1.5128708333333378,1999-01-01,19.813698630136987,1,0.0,-0.1422085977913199,-0.1422085977913199,-0.17836878621113186,-0.08927167694766254,-0.09884738707795437,1.667719787256936,-0.05352918255799825
1,2018-10-23,Urho Vaakanainen,away,Boston Bruins,Ottawa Senators,D,5.7666666666667,0,0,0,0.01,0,0,0,0,0,0,0,0.13,0.05,20182019,0.2395333333333344,0.2395333333333344,0.2395333333333344,0.2395333333333344,-0.2395333333333344,0.2395333333333344,-0.1095333333333344,0.1895333333333344,0.005,0.0,-0.7815333333333344,1.2793291666666682,0.5027958333333338,1999-01-01,19.82191780821918,2,-0.1428018518900443,-0.08624237583358638,-0.08624237583358638,-0.09873273503544543,-0.08932649271778748,-0.09888117914745624,1.662976118261114,-0.05371483795641723
2,2019-11-12,Urho Vaakanainen,home,Boston Bruins,Florida Panthers,D,16.916666666667,0,0,0,0.0,1,0,0,0,0,0,0,0.52,0.54,20192020,0.596333333333344,0.596333333333344,0.596333333333344,0.596333333333344,-0.596333333333344,0.596333333333344,-0.07633333333334402,0.056333333333344005,0.05,0.0,-0.514333333333344,0.6652291666666821,0.2008958333333381,1999-01-01,20.876712328767123,3,-0.08682700458987024,-0.06307074002316293,-0.06307074002316293,-0.018790863759376865,-0.09629278606718868,-0.1026748131475437,1.2735852321968535,-0.07560764967499642
3,2019-11-15,Urho Vaakanainen,away,Boston Bruins,Toronto Maple Leafs,D,16.05,0,0,0,0.05,0,0,0,0,0,1,0,0.69,0.68,20192020,0.5686000000000001,0.5686000000000001,0.5686000000000001,0.5686000000000001,0.4313999999999999,0.5686000000000001,0.12139999999999984,-0.11139999999999994,0.025,0.0,0.1853999999999999,0.3033625000000001,0.5137625,1999-01-01,20.884931506849316,4,-0.042776157625871475,-0.019496904848202316,-0.019496904848202316,-0.022593379463517815,-0.09635180276722687,-0.10270225658578641,1.2716901847931625,-0.07576672676993121
4,2019-11-16,Urho Vaakanainen,home,Boston Bruins,Washington Capitals,D,19.316666666667,0,0,0,0.05,1,0,0,0,0,1,1,0.66,1.45,20192020,0.673133333333344,0.673133333333344,0.673133333333344,0.673133333333344,0.326866666666656,-0.326866666666656,-0.013133333333343988,-0.7768666666666559,0.07500000000000001,0.0,0.03286666666665594,-1.8923708333333173,-1.7845041666666615,1999-01-01,20.887671232876713,5,0.031485273406809684,-0.14500615974704725,-0.14500615974704725,-0.16397589382259922,-0.09637148752324147,-0.1027114001426218,1.271061129927743,-0.07581971099117787
5,2019-11-19,Urho Vaakanainen,away,Boston Bruins,New Jersey Devils,D,18.25,0,0,0,0.02,0,0,0,0,0,1,0,0.29,0.34,20192020,0.639,0.639,0.639,0.639,0.361,0.639,-0.34900000000000003,0.299,0.01,0.0,-0.525,1.1865625,0.6715625,1999-01-01,20.895890410958906,6,-0.18266375174050925,-0.09007425929371043,-0.09007425929371043,-0.10497978956113845,-0.09643057428803523,-0.10273882116512566,1.2691818022469084,-0.0759785352400408
6,2019-11-21,Urho Vaakanainen,home,Boston Bruins,Buffalo Sabres,D,13.733333333333,0,0,0,0.01,1,0,0,0,0,0,0,0.17,0.64,20192020,0.494466666666656,0.494466666666656,0.494466666666656,0.494466666666656,-0.494466666666656,0.494466666666656,-0.324466666666656,-0.145533333333344,0.055,0.0,-0.9724666666666559,0.28879583333331804,-0.6286708333333378,1999-01-01,20.9013698630137,7,-0.09209320024440827,-0.12450162835556312,-0.12450162835556312,-0.14332568573133792,-0.09646998892468339,-0.10275709603900052,1.2679354153650328,-0.07608430820343488
7,2021-02-21,Urho Vaakanainen,home,Boston Bruins,Philadelphia Flyers,D,23.466666666667,0,0,1,0.09,1,0,0,0,0,1,1,0.64,1.1,20202021,0.805933333333344,0.805933333333344,0.805933333333344,0.805933333333344,0.19406666666665595,-0.19406666666665595,-0.16593333333334404,-0.29406666666665604,0.6450000000000001,0.0,-0.13193333333334412,-0.896470833333318,-0.383404166666662,1999-01-01,22.156164383561645,8,-0.14370865117519183,-0.14028817896084256,-0.14028817896084256,-0.0958717561113651,-0.10607760045497015,-0.10645101197305343,1.0817976051125995,-0.09805678987792639
8,2021-02-25,Urho Vaakanainen,away,Boston Bruins,New York Islanders,D,19.283333333333,0,0,1,0.12,1,0,0,0,0,1,2,0.7,0.74,20202021,0.672066666666656,0.672066666666656,0.672066666666656,0.672066666666656,0.32793333333334396,-1.3279333333333438,0.027933333333343913,-0.06793333333334395,0.6600000000000001,0.0,0.09793333333334386,-0.8359041666666818,-0.07797083333333776,1999-01-01,22.167123287671235,9,-0.1886175162033464,-0.13665069640939528,-0.13665069640939528,-0.1366276005306811,-0.10617735865498956,-0.10647719551528137,1.0808082490471,-0.09823884925804495
9,2021-02-26,Urho Vaakanainen,away,Boston Bruins,New York Rangers,D,19.65,0,0,0,0.04,2,0,0,0,0,1,3,0.55,0.54,20202021,0.6838,0.6838,0.6838,0.6838,0.31620000000000004,-2.3162000000000003,-0.13379999999999992,0.14379999999999993,0.12000000000000001,0.0,-0.15379999999999994,-0.9340374999999999,-0.9678374999999998,1999-01-01,22.16986301369863,10,-0.17104558258380273,-0.18324307412258908,-0.18324307412258908,-0.18610620010648599,-0.10620229167160081,-0.1064837642554344,1.0805621823834382,-0.09828429441917565
