,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,RoundAge,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2017-10-17,Martin Necas,away,Carolina Hurricanes,Edmonton Oilers,C,6.9,0,0,0,0.0,0,0,0,0,4,0,0,0.34,0.67,20172018,0.27580000000000005,0.27580000000000005,0.27580000000000005,0.27580000000000005,-0.27580000000000005,0.27580000000000005,0.06419999999999998,-0.3942,0.0,-0.04,-0.35987500000000006,-0.24423874999999995,-0.64411375,1999-01-15,18.767123287671232,18.0,1,29.222137096774194,0.0,-0.06054615581674477,-0.06054615581674477,-0.06661142312607483,0.03384110703044303,0.13399384729277025,2.917194195461754,0.09872108099720837
1,2018-10-04,Martin Necas,home,Carolina Hurricanes,New York Islanders,C,11.583333333333,0,0,0,0.07,0,0,0,0,3,0,0,0.4,0.28,20182019,0.425666666666656,0.425666666666656,0.425666666666656,0.425666666666656,-0.425666666666656,0.425666666666656,-0.025666666666655957,0.14566666666665595,0.035,-0.03,-0.41604166666666,0.5789312499999886,0.1678895833333286,1999-01-15,19.731506849315068,19.0,2,55.41579301075254,-0.06079873727565908,-0.04072507449787682,-0.04072507449787682,0.20843015880883908,0.0496135546796901,0.14871793134043312,1.717426931028977,0.0852076549509785
2,2018-10-05,Martin Necas,away,Carolina Hurricanes,Columbus Blue Jackets,C,11.083333333333,0,0,0,0.02,0,0,0,1,2,0,0,0.18,0.55,20182019,0.409666666666656,0.409666666666656,0.409666666666656,0.409666666666656,-0.409666666666656,0.409666666666656,-0.22966666666665603,-0.14033333333334402,0.01,-0.01,-0.54354166666666,0.10283124999998844,-0.4407104166666716,1999-01-15,19.734246575342464,19.0,3,35.7835349462364,-0.02512928038898769,-0.07300330979485498,-0.07300330979485498,-0.08105645408318184,0.06509900260341205,0.1630577643457642,1.7157006469685019,0.11169040088367824
3,2018-10-07,Martin Necas,home,Carolina Hurricanes,New York Rangers,C,10.1,0,0,1,0.01,0,0,0,5,5,1,2,0.26,0.25,20182019,0.3782,0.3782,0.3782,0.3782,0.6218,-1.6218,-0.11819999999999997,0.12819999999999998,0.555,0.0,0.15112499999999995,-0.29579875,0.41032625,1999-01-15,19.73972602739726,19.0,4,63.23633064516129,-0.08129575640187549,-0.036492718670041176,-0.036492718670041176,-0.039745290876691396,0.08023722185903978,0.17696518578957174,1.7122629547809056,0.13738722258377054
4,2018-10-09,Martin Necas,home,Carolina Hurricanes,Vancouver Canucks,C,8.2833333333333,0,0,0,0.0,1,0,0,3,6,0,0,0.09,0.44,20182019,0.32006666666666556,0.32006666666666556,0.32006666666666556,0.32006666666666556,-0.32006666666666556,0.32006666666666556,-0.23006666666666556,-0.11993333333333445,0.05,-0.03,-0.543791666666666,0.19407124999999875,-0.32972041666666724,1999-01-15,19.745205479452054,19.0,5,39.3638575268817,-0.02256591477986989,-0.05734407191226111,-0.05734407191226111,-0.07365905288557559,0.09498806809084154,0.19041147411685197,1.7088449640218941,0.16231988179920334
5,2018-10-13,Martin Necas,away,Carolina Hurricanes,Minnesota Wild,C,11.666666666667,0,0,0,0.0,0,0,0,2,3,0,0,0.02,0.17,20182019,0.428333333333344,0.428333333333344,0.428333333333344,0.428333333333344,-0.428333333333344,0.428333333333344,-0.408333333333344,0.25833333333334396,0.0,-0.01,-0.65520833333334,0.7687812500000113,0.10357291666667123,1999-01-15,19.756164383561643,19.0,6,53.341061827957134,-0.055455305908582206,-0.046518924642211704,-0.046518924642211704,-0.049457261692306374,0.10932860096760552,0.20338429560924534,1.7020674554174506,0.18608465365328217
6,2018-10-14,Martin Necas,away,Carolina Hurricanes,Winnipeg Jets,C,10.733333333333,0,0,0,0.54,1,0,0,1,4,0,0,0.41,0.41,20182019,0.39846666666665603,0.39846666666665603,0.39846666666665603,0.39846666666665603,-0.39846666666665603,0.39846666666665603,0.011533333333343943,-0.011533333333343943,0.32,-0.03,-0.39279166666666004,0.32886124999998867,0.22606958333332866,1999-01-15,19.75890410958904,19.0,7,57.29256720430092,-0.03996753984357005,-0.029094927501444087,-0.029094927501444087,-0.03440127893242749,0.12325001054668205,0.2158845311663162,1.7003851464222515,0.209572487229964
7,2018-10-16,Martin Necas,away,Carolina Hurricanes,Tampa Bay Lightning,C,6.7166666666667,1,0,0,0.07,0,1,1,4,5,1,0,0.08,0.35,20182019,0.2699333333333344,0.2699333333333344,0.2699333333333344,0.2699333333333344,0.7300666666666655,0.2699333333333344,-0.1899333333333344,-0.08006666666666556,0.785,-0.01,0.1062916666666659,0.2934912500000012,1.174782916666667,1999-01-15,19.764383561643836,19.0,8,87.89622311827958,-0.016316455655098202,0.044311376791710363,0.044311376791710363,0.05105102186300761,0.13675466059901403,0.2279232775670631,1.6970348754244604,0.23207742841336215
8,2019-10-03,Martin Necas,home,Carolina Hurricanes,Montreal Canadiens,C,15.266666666667,1,0,0,0.21,0,0,0,0,2,1,1,0.92,0.42,20192020,0.543533333333344,0.543533333333344,0.543533333333344,0.543533333333344,0.45646666666665603,-0.45646666666665603,0.37646666666665607,0.12353333333334399,0.855,-0.02,0.46029166666666,0.02940125000001148,1.3246929166666712,1999-01-15,20.72876712328767,20.0,9,92.73202956989262,0.08127019350692051,0.11904763944206881,0.11904763944206881,0.6148112466813385,0.1498534250750822,0.23951918443703846,1.3098210107270423,0.19628116469275328
9,2019-10-05,Martin Necas,away,Carolina Hurricanes,Washington Capitals,C,14.7,0,0,0,0.16,0,1,0,0,1,0,1,0.31,0.75,20192020,0.5254,0.5254,0.5254,0.5254,-0.5254,-0.4746,-0.21539999999999998,-0.22460000000000002,0.08,-0.16,-0.534625,-0.55097875,-1.1656037499999998,1999-01-15,20.734246575342464,20.0,10,12.39987903225807,0.25314722941439144,0.04703619447193759,0.04703619447193759,0.05259256225047996,0.1625633975294321,0.2506961928618159,1.3084036788613669,0.2126985473757118
