,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2018-12-16,Caleb Jones,away,Edmonton Oilers,Vancouver Canucks,D,16.95,0,0,0,0.05,0,1,0,0,0,0,0,0.69,0.09,20182019,0.5974,0.5974,0.5974,0.5974,-0.5974,0.5974,0.0925999999999999,0.5074000000000001,0.025,-0.15,-0.24340000000000017,1.7017625,1.3333624999999998,1997-06-06,21.542465753424658,1,93.01169354838709,0.0,0.12533496402646946,0.12533496402646946,0.14405737701026827,0.07676276399435004,0.08266568976198337,1.1520783814270743,0.08843672089647929
1,2018-12-18,Caleb Jones,home,Edmonton Oilers,St Louis Blues,D,18.266666666667,0,0,1,0.0,1,0,0,0,0,1,1,0.26,0.63,20182019,0.6395333333333441,0.6395333333333441,0.6395333333333441,0.6395333333333441,0.36046666666665594,-0.36046666666665594,-0.37953333333334405,0.009533333333344052,0.6000000000000001,0.0,-0.5735333333333441,-0.05467083333331768,-0.0282041666666617,1997-06-06,21.54794520547945,2,49.09018817204317,0.12585782609161186,0.11201256707396147,0.11201256707396147,0.1281589374394017,0.06179609270094917,0.06628684021419998,1.151302713494036,0.07114600920993176
2,2018-12-22,Caleb Jones,home,Edmonton Oilers,Tampa Bay Lightning,D,19.316666666667,0,0,0,0.01,0,0,0,0,0,1,1,0.3,0.97,20182019,0.673133333333344,0.673133333333344,0.673133333333344,0.673133333333344,0.326866666666656,-0.326866666666656,-0.37313333333334403,-0.29686666666665595,0.005,0.0,-0.543133333333344,-0.7883708333333177,-1.3265041666666617,1997-06-06,21.55890410958904,3,7.209543010752846,0.11252355163524924,-0.004073640881943008,-0.004073640881943008,-0.004204890938799911,0.0474279348443422,0.050544299954413965,1.1497605271127973,0.054530767366502295
3,2018-12-27,Caleb Jones,home,Edmonton Oilers,Vancouver Canucks,D,17.15,0,0,0,0.14,1,0,0,0,0,0,0,0.61,0.08,20182019,0.6038,0.6038,0.6038,0.6038,-0.6038,0.6038,0.006199999999999983,0.5238,0.12000000000000001,0.0,-0.3778000000000001,1.7339625,1.4761625,1997-06-06,21.572602739726026,4,97.61814516129033,-0.0029129761888717965,0.10774301798504524,0.10774301798504524,0.12263028742879643,0.033805646539928,0.03559328377986829,1.1478498248283269,0.038803805459064686
4,2018-12-29,Caleb Jones,home,Edmonton Oilers,San Jose Sharks,D,18.733333333333,1,0,0,0.08,0,0,0,0,0,3,4,0.6,0.81,20182019,0.6544666666666561,0.6544666666666561,0.6544666666666561,0.6544666666666561,2.3455333333333437,-3.3455333333333437,-0.054466666666656116,-0.15553333333334396,0.79,0.0,0.7555333333333438,-2.172204166666682,-0.6266708333333382,1997-06-06,21.578082191780823,5,29.784811827956833,0.10789935958996773,0.055519020237073266,0.055519020237073266,0.057582306268996596,0.021003986952327983,0.021512090761893938,1.1470908039537426,0.024093480279379825
5,2018-12-31,Caleb Jones,home,Edmonton Oilers,Winnipeg Jets,D,23.933333333333,0,0,0,0.03,1,0,0,0,0,1,1,0.84,0.6,20182019,0.8208666666666561,0.8208666666666561,0.8208666666666561,0.8208666666666561,0.1791333333333439,-0.1791333333333439,0.019133333333343883,0.2208666666666561,0.065,0.0,0.1731333333333438,0.27499583333331834,0.5131291666666622,1997-06-06,21.583561643835615,6,66.55255376344071,0.056519023895729076,0.08630319828511887,0.08630319828511887,0.0930933985020104,0.009040912101041996,0.008318896210092554,1.146334771031618,0.010363911903264961
6,2019-01-02,Caleb Jones,away,Edmonton Oilers,Arizona Coyotes,D,21.833333333333,0,0,0,0.01,0,0,0,0,0,0,0,0.73,0.81,20182019,0.7536666666666562,0.7536666666666562,0.7536666666666562,0.7536666666666562,-0.7536666666666562,0.7536666666666562,-0.023666666666656178,-0.056333333333343893,0.005,0.0,-0.3356666666666562,0.2703958333333182,-0.06027083333333799,1997-06-06,21.589041095890412,7,48.05577956989232,0.08647589625033461,0.07693411105984252,0.07693411105984252,0.08494677421000893,-0.0021065593555123496,-0.004011414850229444,1.145581714299643,-0.0018388556042902668
7,2019-01-05,Caleb Jones,away,Edmonton Oilers,Los Angeles Kings,D,23.2,0,0,0,0.01,2,0,0,0,0,0,1,0.29,0.43,20182019,0.7974,0.7974,0.7974,0.7974,-0.7974,-0.2026,-0.5074000000000001,0.3674,0.10500000000000001,0.0,-1.0834000000000001,0.6322625000000002,-0.3461375,1997-06-06,21.5972602739726,8,38.83427419354839,0.07740860130685147,0.051137371324413705,0.051137371324413705,0.05651630506731698,-0.012488582496408922,-0.015532663564164599,1.1444576839946137,-0.010912227399110809
8,2019-01-06,Caleb Jones,away,Edmonton Oilers,Anaheim Ducks,D,19.133333333333,0,1,1,0.06,2,1,0,0,0,2,0,1.07,0.87,20182019,0.667266666666656,0.667266666666656,0.667266666666656,0.667266666666656,1.332733333333344,0.667266666666656,0.40273333333334405,-0.20273333333334398,1.3800000000000001,-0.15,1.094733333333344,0.008195833333318303,2.3329291666666627,1997-06-06,21.6,9,125.25577956989234,0.05262790975261237,0.18432625730818467,0.18432625730818467,0.20539285450922778,-0.022371656810981543,-0.02653567107576449,1.1440844826948444,-0.01955420001701799
9,2019-01-08,Caleb Jones,away,Edmonton Oilers,San Jose Sharks,D,24.65,0,0,0,0.08,1,0,0,0,0,0,3,0.21,1.43,20182019,0.8438,0.8438,0.8438,0.8438,-0.8438,-2.1562,-0.6338,-0.5861999999999999,0.09,0.0,-1.2578,-2.7510375,-3.9188374999999995,1997-06-06,21.605479452054794,10,-76.41411290322579,0.17889610567945766,-0.04567758150847795,-0.04567758150847795,-0.04689834942250882,-0.0325289148314014,-0.03786723633342391,1.143340284633813,-0.02845077294011354
10,2019-01-10,Caleb Jones,home,Edmonton Oilers,Florida Panthers,D,22.816666666667,0,0,0,0.06,2,0,0,0,0,0,3,0.4,1.01,20182019,0.7851333333333441,0.7851333333333441,0.7851333333333441,0.7851333333333441,-0.7851333333333441,-2.214866666666656,-0.3851333333333441,-0.2248666666666559,0.13,0.0,-0.8951333333333441,-1.8693708333333177,-2.6345041666666615,1997-06-06,21.610958904109587,11,-34.984005376343916,-0.036883261273345146,-0.18544296814565903,-0.18544296814565903,-0.20487790250824733,-0.04327800770339077,-0.049872693560504555,1.1425990163855995,-0.03787681162223711
