,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2019-04-06,Blake Lizotte,home,Los Angeles Kings,Vegas Golden Knights,C,11.2,0,0,0,0.12,1,0,0,4,4,0,1,0.85,0.59,20182019,0.4134,0.4134,0.4134,0.4134,-0.4134,-0.5866,0.4366,-0.17659999999999998,0.11,0.0,-0.12712500000000004,-0.39867874999999986,-0.4158037499999999,1997-12-13,21.326027397260273,1,36.58697580645162,0.0,-0.03908520604735853,-0.03908520604735853,-0.036254916012992404,0.19377724681877137,0.19665865587461237,1.1853031616864618,0.22968478331718756
1,2019-10-05,Blake Lizotte,away,Los Angeles Kings,Edmonton Oilers,C,10.433333333333,0,0,0,0.0,1,0,0,4,4,0,0,0.22,0.24,20192020,0.388866666666656,0.388866666666656,0.388866666666656,0.388866666666656,-0.388866666666656,0.388866666666656,-0.16886666666665598,0.148866666666656,0.05,0.0,-0.50554166666666,0.6076012499999885,0.15205958333332853,1997-12-13,21.824657534246576,2,54.90514784946221,-0.039248258486150656,-0.022499813463479793,-0.022499813463479793,-0.022770683804329478,0.20071485738929867,0.2049243490462428,1.115859266679565,0.2239695335781163
2,2019-10-08,Blake Lizotte,away,Los Angeles Kings,Calgary Flames,C,11.616666666667,0,1,0,0.38,0,0,0,2,5,2,0,0.68,0.27,20192020,0.42673333333334396,0.42673333333334396,0.42673333333334396,0.42673333333334396,1.573266666666656,0.42673333333334396,0.2532666666666561,0.15673333333334394,0.8899999999999999,-0.03,1.00829166666666,0.5970712500000113,2.4653629166666713,1997-12-13,21.832876712328765,3,129.52783602150552,-0.016702607340857104,0.17826709002928645,0.17826709002928645,0.20687234059921328,0.20760723015216478,0.21311325422610874,1.1149110166934053,0.23146358804185183
3,2019-10-09,Blake Lizotte,away,Los Angeles Kings,Vancouver Canucks,C,11.6,0,0,0,0.06,0,0,0,11,2,1,1,0.71,0.32,20192020,0.42619999999999997,0.42619999999999997,0.42619999999999997,0.42619999999999997,0.5738000000000001,-0.5738000000000001,0.2838,0.10619999999999996,0.03,0.09,0.40237500000000004,0.07400124999999991,0.5963762499999999,1997-12-13,21.835616438356166,4,69.2379435483871,0.24631418746551426,0.20985094885991407,0.20985094885991407,0.262749959927784,0.21444288654816437,0.22120597166463793,1.1145961877481323,0.23901722383628926
4,2019-10-12,Blake Lizotte,home,Los Angeles Kings,Nashville Predators,C,14.85,0,0,0,0.05,1,0,0,4,5,1,1,0.28,0.57,20192020,0.5302,0.5302,0.5302,0.5302,0.4698,-0.4698,-0.2502,-0.03979999999999995,0.07500000000000001,-0.01,0.06862499999999999,-0.23984874999999983,-0.10622374999999984,1997-12-13,21.843835616438355,5,46.57342741935484,0.2799128930761432,0.1873749507127943,0.1873749507127943,0.209526769499413,0.22121449873950638,0.22919011128139766,1.113655448180285,0.24635673173772205
5,2019-10-13,Blake Lizotte,home,Los Angeles Kings,Vegas Golden Knights,C,14.733333333333,0,0,0,0.05,0,0,1,1,4,0,0,1.05,0.47,20192020,0.5264666666666561,0.5264666666666561,0.5264666666666561,0.5264666666666561,-0.5264666666666561,0.5264666666666561,0.523533333333344,0.05646666666665612,0.025,0.12,-0.07279166666666004,0.3636612499999887,0.4358695833333287,1997-12-13,21.846575342465755,6,64.06030913978479,0.24592028643652608,0.20409158838846536,0.20409158838846536,0.22730393785626063,0.2279182433832107,0.2370592039706511,1.113343113652689,0.2537512067465152
6,2019-10-15,Blake Lizotte,home,Los Angeles Kings,Carolina Hurricanes,C,14.766666666667,0,0,0,0.26,1,0,2,0,2,0,0,1.0,0.17,20192020,0.5275333333333441,0.5275333333333441,0.5275333333333441,0.5275333333333441,-0.5275333333333441,0.5275333333333441,0.47246666666665593,0.35753333333334403,0.18,0.27999999999999997,-0.10470833333334006,0.8748012500000114,1.2300929166666714,1997-12-13,21.852054794520548,7,89.68041666666682,0.2613160415464698,0.2696741191529221,0.2696741191529221,0.29439148666265585,0.23455310186270684,0.24481152108092955,1.1127203058524726,0.26099199924331734
7,2019-10-17,Blake Lizotte,home,Los Angeles Kings,Buffalo Sabres,C,14.316666666667,0,0,0,0.14,1,0,0,5,1,0,0,0.95,0.12,20192020,0.513133333333344,0.513133333333344,0.513133333333344,0.513133333333344,-0.513133333333344,0.513133333333344,0.43686666666665597,0.393133333333344,0.12000000000000001,0.04,-0.12695833333334006,0.9444112500000114,0.9774529166666713,1997-12-13,21.85753424657534,8,81.53073924731197,0.33420701661474533,0.3128308447577851,0.3128308447577851,0.35921342766013364,0.24112019479935437,0.25244895088661423,1.1120999722798688,0.2681497619524786
8,2019-10-19,Blake Lizotte,home,Los Angeles Kings,Calgary Flames,C,11.316666666667,0,1,0,0.0,0,0,1,0,2,2,0,0.31,0.5,20192020,0.417133333333344,0.417133333333344,0.417133333333344,0.417133333333344,1.582866666666656,0.417133333333344,-0.10713333333334402,-0.08286666666665599,0.7,0.13,0.7830416666666601,0.19581125000001143,1.8088529166666714,1997-12-13,21.863013698630137,9,108.35009408602166,0.37937836686720855,0.40015411131146783,0.40015411131146783,0.4720572358754108,0.24762219696420965,0.25997601030650813,1.1114821040424885,0.27522764048940324
9,2019-10-22,Blake Lizotte,away,Los Angeles Kings,Winnipeg Jets,C,13.25,0,0,0,0.03,1,0,0,4,4,0,1,0.36,0.21,20192020,0.479,0.479,0.479,0.479,-0.479,-0.521,-0.119,0.269,0.065,0.0,-0.474375,0.31743125000000005,-0.09194374999999994,1997-12-13,21.87123287671233,10,47.034072580645166,0.4735102052312486,0.3725694464358549,0.3725694464358549,0.4559273066637597,0.25412407079157445,0.26748223765349477,1.1105599048559827,0.2822200038799059
