,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,RoundAge,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2018-10-04,Rasmus Dahlin,home,Buffalo Sabres,Boston Bruins,D,22.616666666667,0,0,0,0.01,0,0,0,0,0,0,1,0.37,0.58,20182019,0.778733333333344,0.778733333333344,0.778733333333344,0.778733333333344,-0.778733333333344,-0.22126666666665595,-0.40873333333334405,0.1987333333333441,0.005,0.0,-0.9367333333333441,0.26042916666668225,-0.6713041666666618,2000-04-13,18.487671232876714,18.0,1,28.345026881720585,0.0,-0.06310203232803166,-0.06310203232803166,-0.09151657170016528,0.16858775207083807,0.20058160463967215,3.842467583566824,0.6477929723185959
1,2018-10-06,Rasmus Dahlin,home,Buffalo Sabres,New York Rangers,D,17.083333333333,0,0,0,0.18,1,0,0,0,0,0,0,0.45,0.88,20182019,0.6016666666666561,0.6016666666666561,0.6016666666666561,0.6016666666666561,-0.6016666666666561,0.6016666666666561,-0.15166666666665612,-0.27833333333334387,0.14,0.0,-0.6316666666666562,-0.10910416666668166,-0.6007708333333378,2000-04-13,18.493150684931507,18.0,2,30.620295698924586,-0.0633652761817639,-0.10975487687414295,-0.10975487687414295,-0.12337471347816059,0.17635912474897672,0.20871897834836156,3.8178413797413513,0.6733111641616104
2,2018-10-08,Rasmus Dahlin,home,Buffalo Sabres,Vegas Golden Knights,D,18.616666666667,0,0,0,0.01,0,0,0,0,0,1,1,0.29,0.59,20182019,0.650733333333344,0.650733333333344,0.650733333333344,0.650733333333344,0.34926666666665596,-0.34926666666665596,-0.36073333333334406,0.060733333333344075,0.005,0.0,-0.5367333333333442,0.05342916666668229,-0.47830416666666187,2000-04-13,18.4986301369863,18.0,3,34.57083333333349,-0.10987845613703698,-0.13949626847103033,-0.13949626847103033,-0.16646648739550476,0.18410738093606477,0.2168080841036106,3.7935638665283964,0.6984231078802342
3,2018-10-11,Rasmus Dahlin,home,Buffalo Sabres,Colorado Avalanche,D,18.15,0,1,0,0.19,0,0,0,0,0,1,1,0.89,0.59,20182019,0.6358,0.6358,0.6358,0.6358,0.36419999999999997,-0.36419999999999997,0.2542,0.04580000000000006,0.7949999999999999,0.0,0.43820000000000014,0.03196250000000034,1.2651625000000004,2000-04-13,18.506849315068493,18.0,4,90.81169354838711,-0.13932938662548433,-0.03338870495412535,-0.03338870495412535,-0.04001562751264438,0.19182704209061352,0.22483733840848602,3.757785469125334,0.7208448713534013
4,2018-10-13,Rasmus Dahlin,away,Buffalo Sabres,Arizona Coyotes,D,17.116666666667,1,0,0,0.2,1,0,0,0,0,1,0,0.69,0.48,20182019,0.6027333333333441,0.6027333333333441,0.6027333333333441,0.6027333333333441,0.3972666666666559,0.6027333333333441,0.08726666666665583,0.12273333333334413,0.9,0.0,0.15126666666665567,0.8124291666666823,1.863695833333338,2000-04-13,18.512328767123286,18.0,5,110.11922043010767,-0.0348160063967656,0.10151253428228796,0.10151253428228796,0.11462418547491308,0.19951394186800142,0.23279791249337356,3.734348167670152,0.7450545232394203
5,2018-10-16,Rasmus Dahlin,away,Buffalo Sabres,Vegas Golden Knights,D,19.1,0,0,0,0.06,1,0,1,0,0,0,1,0.74,1.15,20182019,0.6662000000000001,0.6662000000000001,0.6662000000000001,0.6662000000000001,-0.6662000000000001,-0.3337999999999999,0.07379999999999987,-0.4837999999999998,0.08,0.15,-0.23220000000000007,-1.2123374999999996,-1.2145374999999996,2000-04-13,18.52054794520548,18.0,6,10.821370967741949,0.0971424366805319,0.012979710236359271,0.012979710236359271,0.015216868286285254,0.2071651086413021,0.2406834880971047,3.699797632746257,0.7664689785387107
6,2018-10-18,Rasmus Dahlin,away,Buffalo Sabres,San Jose Sharks,D,20.133333333333,0,0,1,0.04,0,0,0,0,0,1,0,0.3,0.32,20182019,0.699266666666656,0.699266666666656,0.699266666666656,0.699266666666656,0.30073333333334396,0.699266666666656,-0.39926666666665606,0.37926666666665604,0.5700000000000001,0.0,-0.5692666666666562,1.319195833333318,1.319929166666662,2000-04-13,18.526027397260275,18.0,7,92.5783602150536,0.011440030571508544,0.09652058934786152,0.09652058934786152,0.1020424898909339,0.2147786234936304,0.2484899609058473,3.6771579588009224,0.7897749247599097
7,2018-10-20,Rasmus Dahlin,away,Buffalo Sabres,Los Angeles Kings,D,18.366666666667,0,0,0,0.01,1,0,0,0,0,0,0,0.36,0.21,20182019,0.6427333333333441,0.6427333333333441,0.6427333333333441,0.6427333333333441,-0.6427333333333441,0.6427333333333441,-0.28273333333334416,0.4327333333333442,0.055,0.0,-0.8167333333333442,1.4909291666666822,0.729195833333338,2000-04-13,18.53150684931507,18.0,8,73.52244623655929,0.09197857673050865,0.13509788496279632,0.13509788496279632,0.16254606649902084,0.22235346928164965,0.25621512457190404,3.6548260544003797,0.8126632528168876
8,2018-10-21,Rasmus Dahlin,away,Buffalo Sabres,Anaheim Ducks,D,20.2,0,0,0,0.09,0,1,1,0,0,0,1,0.27,0.32,20182019,0.7014,0.7014,0.7014,0.7014,-0.7014,-0.2986,-0.4314,0.3814,0.045,0.0,-1.0194,0.7472625000000002,-0.22713749999999988,2000-04-13,18.534246575342465,18.0,9,42.67298387096775,0.12905876022554047,0.11395409459349981,0.11395409459349981,0.1385624860232235,0.22988938175081272,0.2638583585230121,3.6437735756928835,0.8376648545559852
9,2018-10-25,Rasmus Dahlin,home,Buffalo Sabres,Montreal Canadiens,D,17.683333333333,0,1,0,0.08,1,0,0,0,0,0,0,0.71,0.13,20182019,0.620866666666656,0.620866666666656,0.620866666666656,0.620866666666656,-0.620866666666656,0.620866666666656,0.08913333333334394,0.490866666666656,0.79,0.0,-0.234866666666656,1.643495833333318,2.198629166666662,2000-04-13,18.545205479452054,18.0,10,120.9235215053762,0.1094358699934823,0.23081106097906456,0.23081106097906456,0.257335979527036,0.23738670983615118,0.2714203346756148,3.600302584164735,0.8546639848694592
