,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2007-10-04,Joffrey Lupul,away,Philadelphia Flyers,Calgary Flames,L,18.8,0,0,0,0.2,0,0,0,0,0,1,0,0.41,0.12,20072008,0.6566000000000001,0.6566000000000001,0.6566000000000001,0.6566000000000001,0.3433999999999999,0.6566000000000001,-0.2466000000000001,0.5366000000000001,0.1,0.0,0.07087499999999991,1.09774125,1.2686162499999998,1983-09-23,24.046575342465754,238,0.0,1.2519280603031262,1.2519280603031262,1.4872905356401143,0.6718318356214574,0.7815088986548087,1.0007147300389043,0.6723120140154684
1,2007-10-06,Joffrey Lupul,away,Philadelphia Flyers,Edmonton Oilers,L,21.816666666667,0,1,0,0.09,0,0,0,0,0,1,1,0.69,1.16,20072008,0.7531333333333441,0.7531333333333441,0.7531333333333441,0.7531333333333441,0.2468666666666559,-0.2468666666666559,-0.06313333333334414,-0.40686666666665583,0.745,0.0,0.18554166666665994,-1.0045887499999884,-0.07404708333332843,1983-09-23,24.052054794520547,239,1.2686162499999998,0.5929897078242128,0.5929897078242128,0.6626091018521021,0.671976466497903,0.7807845701144586,1.000679453580036,0.672433043313765
2,2007-10-10,Joffrey Lupul,away,Philadelphia Flyers,Vancouver Canucks,L,16.183333333333,1,0,1,0.22,0,0,1,0,0,3,0,0.5,0.34,20072008,0.5728666666666561,0.5728666666666561,0.5728666666666561,0.5728666666666561,2.427133333333344,0.5728666666666561,-0.07286666666665609,0.23286666666665606,1.4100000000000001,0.15,1.42945833333334,0.6342512499999886,3.6237095833333286,1983-09-23,24.063013698630137,240,0.5960033080274781,1.6004780107101138,1.6004780107101138,2.1357993334655894,0.6722663023509712,0.779336878722436,1.0006116285825621,0.6726774796365824
3,2007-10-13,Joffrey Lupul,home,Philadelphia Flyers,New York Islanders,L,19.733333333333,0,1,0,0.0,1,0,1,0,0,0,0,0.0,0.0,20072008,0.6864666666666561,0.6864666666666561,0.6864666666666561,0.6864666666666561,-0.6864666666666561,0.6864666666666561,-0.6864666666666561,0.6864666666666561,0.75,0.15,-0.8290416666666601,1.3336612499999887,1.4046195833333286,1983-09-23,24.07123287671233,241,1.6116683047005878,1.5515017486883447,1.5515017486883447,1.9940394308812803,0.6724841669954442,0.7782519164689378,1.0005631413002332,0.6728628706036323
4,2007-10-16,Joffrey Lupul,home,Philadelphia Flyers,Atlanta Thrashers,L,17.85,0,1,1,0.82,1,0,1,0,0,2,0,0.97,0.31,20072008,0.6262000000000001,0.6262000000000001,0.6262000000000001,0.6262000000000001,1.3738,0.6262000000000001,0.3437999999999999,0.3162000000000001,1.71,0.15,1.0648749999999998,0.74225125,3.66712625,1983-09-23,24.07945205479452,242,1.5594358922683522,1.9760785559064158,1.9760785559064158,2.531695768450128,0.6727024358103539,0.7771676095109612,1.000516690103103,0.6730500145012704
5,2007-10-18,Joffrey Lupul,home,Philadelphia Flyers,New Jersey Devils,L,16.033333333333,1,0,0,0.34,0,0,0,0,0,1,0,0.47,0.31,20072008,0.5680666666666561,0.5680666666666561,0.5680666666666561,0.5680666666666561,0.43193333333334394,0.5680666666666561,-0.09806666666665609,0.25806666666665606,0.92,0.0,0.1637083333333399,0.6801212499999887,1.7638295833333286,1983-09-23,24.084931506849315,243,1.9859766412948747,1.9404535098623177,1.9404535098623177,2.282926531225929,0.672848166718117,0.7764450868113824,1.0004868515130858,0.6731757438661607
6,2007-10-20,Joffrey Lupul,home,Philadelphia Flyers,Carolina Hurricanes,L,18.283333333333,0,0,0,0.25,0,0,0,0,0,0,1,0.45,0.87,20072008,0.6400666666666561,0.6400666666666561,0.6400666666666561,0.6400666666666561,-0.6400666666666561,-0.3599333333333439,-0.19006666666665611,-0.22993333333334387,0.125,0.0,-0.5187916666666601,-0.6324287500000111,-1.0262204166666713,1983-09-23,24.09041095890411,244,1.948467841540109,1.5118729116970915,1.5118729116970915,1.7028028820299244,0.672994068004719,0.7757228324603129,1.0004579144326617,0.6733022417015541
7,2007-10-24,Joffrey Lupul,away,Philadelphia Flyers,Florida Panthers,L,21.666666666667,1,1,0,0.09,0,0,0,0,0,1,2,0.59,1.29,20072008,0.748333333333344,0.748333333333344,0.748333333333344,0.748333333333344,0.25166666666665605,-1.251666666666656,-0.15833333333334398,-0.5416666666666561,1.4949999999999999,0.0,0.12604166666666006,-1.6682187499999883,-0.04717708333332826,1983-09-23,24.101369863013698,245,1.5173515918094196,1.313869562240163,1.313869562240163,1.6143175312458165,0.6732863669838203,0.7742790937337662,1.000402739380381,0.6735575259180783
8,2007-10-25,Joffrey Lupul,away,Philadelphia Flyers,Tampa Bay Lightning,L,20.866666666667,0,0,0,0.42,0,0,0,0,0,0,2,0.37,0.68,20072008,0.7227333333333441,0.7227333333333441,0.7227333333333441,0.7227333333333441,-0.7227333333333441,-1.277266666666656,-0.3527333333333441,0.04273333333334406,0.21,0.0,-0.6204583333333401,-0.6585787499999888,-1.069037083333329,1983-09-23,24.104109589041094,246,1.3179848898894655,1.0434383047965068,1.0434383047965068,1.187814715433229,0.6733595424717698,0.7739183132285796,1.0003895069482316,0.6736218206922205
9,2007-10-27,Joffrey Lupul,away,Philadelphia Flyers,Boston Bruins,L,18.55,1,0,0,0.38,1,0,0,0,0,0,0,0.22,0.65,20072008,0.6486000000000001,0.6486000000000001,0.6486000000000001,0.6486000000000001,-0.6486000000000001,0.6486000000000001,-0.4286000000000001,-0.0013999999999999568,0.99,0.0,-0.667875,0.18819124999999998,0.51031625,1983-09-23,24.10958904109589,247,1.0477313867689915,0.9886663993281106,0.9886663993281106,1.1874057116380023,0.6735060111445423,0.7731969299374661,1.0003637145065818,0.6737509750510656
