,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2007-10-04,Rostislav Olesz,away,Florida Panthers,New York Rangers,L,17.233333333333,0,0,1,0.63,0,0,0,0,0,1,0,1.29,0.48,20072008,0.606466666666656,0.606466666666656,0.606466666666656,0.606466666666656,0.39353333333334395,0.606466666666656,0.683533333333344,0.12646666666665607,0.865,0.0,0.6522083333333398,0.4321612499999886,1.9493695833333282,1985-10-10,21.997260273972604,135,0.0,1.9237263288062147,1.9237263288062147,2.2853868786217837,0.7314399796178938,0.7562778837008077,1.0970907891838155,0.802456064479589
1,2007-10-06,Rostislav Olesz,home,Florida Panthers,New Jersey Devils,L,16.0,0,0,0,0.01,1,0,0,1,1,0,2,0.54,0.21,20072008,0.5670000000000001,0.5670000000000001,0.5670000000000001,0.5670000000000001,-0.5670000000000001,-1.4329999999999998,-0.027000000000000024,0.3570000000000001,0.055,0.0,-0.41687500000000005,-0.02601874999999987,-0.3878937499999999,1985-10-10,22.002739726027396,136,1.9493695833333282,0.7749754388699506,0.7749754388699506,0.9877324578611836,0.7240161083796441,0.7509718063971499,1.09653292562133,0.7939075015185012
2,2007-10-10,Rostislav Olesz,away,Florida Panthers,Tampa Bay Lightning,L,13.25,0,0,0,0.03,0,0,0,1,0,0,1,0.15,0.74,20072008,0.479,0.479,0.479,0.479,-0.479,-0.521,-0.32899999999999996,-0.261,0.015,0.01,-0.6056250000000001,-0.5835687499999999,-1.16419375,1985-10-10,22.013698630136986,137,0.7785075155542337,0.1303463225696443,0.1303463225696443,0.1403387592575014,0.7169375309880242,0.7460703514683173,1.0954239296422796,0.785350527502935
3,2007-10-11,Rostislav Olesz,home,Florida Panthers,New Jersey Devils,L,17.033333333333,1,0,0,0.28,0,0,0,0,0,1,0,0.34,0.39,20072008,0.6000666666666561,0.6000666666666561,0.6000666666666561,0.6000666666666561,0.3999333333333439,0.6000666666666561,-0.26006666666665607,0.21006666666665608,0.89,0.0,0.062458333333339944,0.5783212499999887,1.5307795833333286,1985-10-10,22.016438356164382,138,0.12681494864013756,0.48053797498813167,0.48053797498813167,0.5773206033763366,0.7102942628122214,0.7416264505068868,1.095148077382213,0.7778773962944207
4,2007-10-13,Rostislav Olesz,home,Florida Panthers,Tampa Bay Lightning,L,17.7,0,0,1,0.33,1,0,0,0,0,1,0,0.46,0.33,20072008,0.6214000000000001,0.6214000000000001,0.6214000000000001,0.6214000000000001,0.37859999999999994,0.6214000000000001,-0.16140000000000004,0.29140000000000005,0.7650000000000001,0.0,0.12412500000000004,0.70312125,1.59224625,1985-10-10,22.02191780821918,139,0.47998474344301406,0.7036425711344763,0.7036425711344763,0.7556234459286892,0.7041406073073456,0.7376674760482489,1.0945980422783566,0.7707509302473136
5,2007-10-16,Rostislav Olesz,away,Florida Panthers,Montreal Canadiens,L,17.433333333333,0,0,0,0.11,1,0,0,0,0,0,0,0.21,0.44,20072008,0.612866666666656,0.612866666666656,0.612866666666656,0.612866666666656,-0.612866666666656,0.612866666666656,-0.40286666666665605,0.172866666666656,0.10500000000000001,0.0,-0.6517916666666601,0.5070012499999885,-0.0397904166666716,1985-10-10,22.03013698630137,140,0.7042229041344854,0.5788606506377946,0.5788606506377946,0.7003125726208417,0.6985015652925891,0.7342001564286145,1.0937771489736805,0.7640050506393813
6,2007-10-18,Rostislav Olesz,away,Florida Panthers,Toronto Maple Leafs,L,15.866666666667,1,0,0,0.46,0,0,0,1,0,0,0,0.56,0.3,20072008,0.5627333333333441,0.5627333333333441,0.5627333333333441,0.5627333333333441,-0.5627333333333441,0.5627333333333441,-0.0027333333333440235,0.2627333333333441,0.98,0.01,-0.40170833333334005,0.6914212500000114,1.2797129166666714,1985-10-10,22.035616438356165,141,0.5787962586175154,0.6801092849127266,0.6801092849127266,0.8200552187378821,0.6933794697591806,0.7312156498313169,1.093232648692692,0.7580250742739634
7,2007-11-19,Rostislav Olesz,away,Florida Panthers,Washington Capitals,L,10.35,0,0,0,0.02,0,1,0,0,0,0,0,0.15,0.27,20072008,0.3862,0.3862,0.3862,0.3862,-0.3862,0.3862,-0.2362,0.11619999999999997,0.01,-0.15,-0.547625,0.5537512499999999,-0.13387375000000012,1985-10-10,22.123287671232877,142,0.6802422293913323,0.5767313510250509,0.5767313510250509,0.6697993651661254,0.688760043779354,0.728694156205453,1.0848149852972087,0.7471772167658046
8,2007-11-21,Rostislav Olesz,away,Florida Panthers,Columbus Blue Jackets,L,15.416666666667,2,1,0,0.32,0,0,1,0,0,1,0,0.57,0.36,20072008,0.548333333333344,0.548333333333344,0.548333333333344,0.548333333333344,0.451666666666656,0.548333333333344,0.021666666666655954,0.188333333333344,2.3600000000000003,0.15,0.23854166666665988,0.5740312500000114,3.3225729166666715,1985-10-10,22.12876712328767,143,0.571692165809217,0.8883513587651399,0.8883513587651399,0.9752014357794182,0.6845949895605631,0.7265832901343999,1.08430691264401,0.7423110795419724
9,2007-11-23,Rostislav Olesz,home,Florida Panthers,New York Rangers,L,14.0,0,0,0,0.15,0,0,0,0,0,0,0,0.33,0.25,20072008,0.503,0.503,0.503,0.503,-0.503,0.503,-0.173,0.253,0.075,0.0,-0.508125,0.7125812499999999,0.2794562499999999,1985-10-10,22.134246575342466,144,0.896420139585877,0.8257946796005856,0.8257946796005856,0.9017457318443712,0.6806339128972704,0.7246015607877632,1.083800919422866,0.7376716605884445
10,2007-11-28,Rostislav Olesz,away,Florida Panthers,Washington Capitals,L,16.4,0,0,0,0.08,0,0,0,0,0,0,0,0.35,0.08,20072008,0.5798,0.5798,0.5798,0.5798,-0.5798,0.5798,-0.2298,0.49979999999999997,0.04,0.0,-0.543625,1.08366125,0.58003625,1985-10-10,22.147945205479452,145,0.8310573180871252,0.8026935919869839,0.8026935919869839,0.9111179817759656,0.6766498400289477,0.722482953159353,1.082544989258104,0.732503893805635
11,2007-11-29,Rostislav Olesz,home,Florida Panthers,Boston Bruins,L,16.433333333333,0,1,1,0.05,1,1,1,0,0,1,0,0.19,0.22,20072008,0.5808666666666561,0.5808666666666561,0.5808666666666561,0.5808666666666561,0.4191333333333439,0.5808666666666561,-0.3908666666666561,0.3608666666666561,1.325,0.0,-0.019291666666660046,0.8468012499999886,2.1525095833333285,1985-10-10,22.15068493150685,146,0.8068027105193613,0.9198154251534105,0.9198154251534105,1.0512731948768586,0.6725660832720918,0.7201267146497486,1.0822953483919449,0.7279151434115744
12,2007-12-01,Rostislav Olesz,home,Florida Panthers,Washington Capitals,L,15.433333333333,0,0,0,0.15,0,0,0,0,0,0,1,0.28,0.6,20072008,0.5488666666666561,0.5488666666666561,0.5488666666666561,0.5488666666666561,-0.5488666666666561,-0.45113333333334393,-0.26886666666665604,-0.05113333333334391,0.075,0.0,-0.56804166666666,-0.2708987500000114,-0.7639404166666715,1985-10-10,22.156164383561645,147,0.9255797965341914,0.7839387778986847,0.7839387778986847,0.8833775749629076,0.6683999581590397,0.7175414114015628,1.0817976051125995,0.723073473993811
