,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2007-10-04,Geoff Sanderson,home,Edmonton Oilers,San Jose Sharks,L,12.783333333333,0,0,0,0.03,0,1,1,0,0,1,0,0.51,0.25,20072008,0.46406666666665597,0.46406666666665597,0.46406666666665597,0.46406666666665597,0.535933333333344,0.46406666666665597,0.04593333333334404,0.21406666666665597,0.015,0.0,0.25370833333334,0.6709712499999886,0.9396795833333286,1972-02-01,35.6958904109589,1064,0.0,0.9273184369733117,0.9273184369733117,1.1016543031242945,0.8634818204267711,0.8898451978402284,1,0.8634818204267711
1,2007-10-06,Geoff Sanderson,home,Edmonton Oilers,Philadelphia Flyers,L,12.9,2,0,0,1.17,0,1,0,0,0,1,0,0.76,0.09,20072008,0.4678,0.4678,0.4678,0.4678,0.5322,0.4678,0.2922,0.3778,2.085,-0.15,0.407625,0.94696125,3.28958625,1972-02-01,35.701369863013696,1065,0.9396795833333286,2.101238527632677,2.101238527632677,2.398108113216367,0.8014122299192912,0.8411989098753251,1,0.8014122299192912
2,2007-10-08,Geoff Sanderson,away,Edmonton Oilers,Detroit Red Wings,L,10.166666666667,0,0,0,0.0,0,0,1,0,1,0,0,0.23,0.53,20072008,0.380333333333344,0.380333333333344,0.380333333333344,0.380333333333344,-0.380333333333344,0.380333333333344,-0.150333333333344,-0.149666666666656,0.0,0.13999999999999999,-0.49395833333334005,0.1054812500000114,-0.24847708333332863,1972-02-01,35.706849315068496,1066,2.1168753830454814,1.320133347874361,1.320133347874361,1.4538778730717226,0.7450521509747657,0.7958767725832538,1,0.7450521509747657
3,2007-10-10,Geoff Sanderson,away,Edmonton Oilers,Minnesota Wild,L,15.683333333333,0,0,0,0.09,1,1,2,0,1,0,1,0.53,0.59,20072008,0.5568666666666561,0.5568666666666561,0.5568666666666561,0.5568666666666561,-0.5568666666666561,-0.4431333333333439,-0.026866666666656047,-0.033133333333343895,0.095,0.13999999999999999,-0.41679166666666,-0.24534875000001122,-0.42714041666667124,1972-02-01,35.71232876712329,1067,1.325413041932479,0.8832109296661386,0.8832109296661386,0.9050933290830467,0.6894870450861338,0.7459120086405255,1,0.6894870450861338
4,2007-10-12,Geoff Sanderson,home,Edmonton Oilers,Vancouver Canucks,L,15.666666666667,0,0,0,0.23,0,0,0,0,0,0,1,0.34,0.37,20072008,0.5563333333333441,0.5563333333333441,0.5563333333333441,0.5563333333333441,-0.5563333333333441,-0.4436666666666559,-0.2163333333333441,0.18633333333334412,0.115,0.0,-0.5352083333333401,0.12808125000001147,-0.2921270833333286,1972-02-01,35.71780821917808,1068,0.8847628542534177,0.64733671822079,0.64733671822079,0.9111205413919579,0.6426572150613006,0.7018595965954314,1,0.6426572150613006
5,2007-10-13,Geoff Sanderson,away,Edmonton Oilers,Vancouver Canucks,L,10.2,0,0,0,0.0,0,1,0,1,0,0,1,0.22,0.36,20072008,0.38139999999999996,0.38139999999999996,0.38139999999999996,0.38139999999999996,-0.38139999999999996,-0.6186,-0.16139999999999996,0.021399999999999975,0.0,-0.13999999999999999,-0.500875,-0.041878750000000076,-0.68275375,1972-02-01,35.72054794520548,1069,0.6475845137591677,0.4240869488638854,0.4240869488638854,0.54556398753329,0.5803625930129505,0.6421334815813936,1,0.5803625930129505
6,2007-10-18,Geoff Sanderson,away,Edmonton Oilers,Phoenix Coyotes,L,16.55,0,0,0,0.11,2,0,0,1,0,0,0,0.33,0.3,20072008,0.5846000000000001,0.5846000000000001,0.5846000000000001,0.5846000000000001,-0.5846000000000001,0.5846000000000001,-0.2546000000000001,0.28460000000000013,0.155,0.01,-0.5591250000000001,0.7147912500000001,0.32066625000000004,1972-02-01,35.73424657534247,1070,0.42409535029878553,0.4091462758814627,0.4091462758814627,0.4681880801378638,0.5110001726958954,0.5741334539614291,1,0.5110001726958954
7,2007-10-20,Geoff Sanderson,away,Edmonton Oilers,Calgary Flames,L,8.4166666666667,0,0,0,0.1,0,0,0,1,1,0,0,0.39,0.14,20072008,0.3243333333333344,0.3243333333333344,0.3243333333333344,0.3243333333333344,-0.3243333333333344,0.3243333333333344,0.0656666666666656,0.1843333333333344,0.05,0.0,-0.35895833333333405,0.7086312500000012,0.3996729166666671,1972-02-01,35.73972602739726,1071,0.40909704167239835,0.4079431349551824,0.4079431349551824,0.46924875784032555,0.40854223560593533,0.4655130848047922,1,0.40854223560593533
8,2007-10-23,Geoff Sanderson,home,Edmonton Oilers,Colorado Avalanche,L,14.166666666667,0,0,0,0.07,1,0,0,0,0,0,1,0.26,0.43,20072008,0.5083333333333441,0.5083333333333441,0.5083333333333441,0.5083333333333441,-0.5083333333333441,-0.4916666666666559,-0.24833333333334406,0.07833333333334408,0.085,0.0,-0.5552083333333401,-0.02521874999998852,-0.4954270833333286,1972-02-01,35.74794520547945,1072,0.40789953331385514,0.3054214753162179,0.3054214753162179,0.3584358285401416,0.29534458000574326,0.33938743896596213,1,0.29534458000574326
9,2007-10-25,Geoff Sanderson,home,Edmonton Oilers,Minnesota Wild,L,10.383333333333,0,0,0,0.04,0,1,0,0,0,0,2,0.15,0.98,20072008,0.38726666666665605,0.38726666666665605,0.38726666666665605,0.38726666666665605,-0.38726666666665605,-1.612733333333344,-0.23726666666665605,-0.592733333333344,0.02,-0.15,-0.5482916666666601,-1.5271087500000111,-2.205400416666671,1972-02-01,35.75342465753425,1073,0.30553780184390295,0.04746460019095444,0.04746460019095444,0.05541723989111403,0.21506910853672256,0.24729476453513333,1,0.21506910853672256
10,2007-10-27,Geoff Sanderson,away,Edmonton Oilers,Los Angeles Kings,L,15.016666666667,0,0,0,0.13,0,0,0,0,0,0,1,0.63,0.36,20072008,0.5355333333333441,0.5355333333333441,0.5355333333333441,0.5355333333333441,-0.5355333333333441,-0.4644666666666559,0.09446666666665593,0.1755333333333441,0.065,0.0,-0.3409583333333401,0.12285125000001151,-0.15310708333332856,1972-02-01,35.75890410958904,1074,0.049090008756209204,0.028611029058389647,0.028611029058389647,0.035050420707089025,0.15489646069644658,0.17779078365970508,1,0.15489646069644658
11,2007-10-28,Geoff Sanderson,away,Edmonton Oilers,Anaheim Ducks,L,10.266666666667,0,1,0,0.0,0,0,0,0,0,0,1,0.0,0.0,20072008,0.383533333333344,0.383533333333344,0.383533333333344,0.383533333333344,-0.383533333333344,-0.6164666666666561,-0.383533333333344,0.383533333333344,0.7,0.0,-0.63970833333334,0.5724012500000113,0.6326929166666713,1972-02-01,35.76164383561644,1075,0.030287837783316916,0.0810264534665329,0.0810264534665329,0.09708008566239301,0.10702932744181065,0.11993944812499084,1,0.10702932744181065
12,2007-10-30,Geoff Sanderson,home,Edmonton Oilers,Detroit Red Wings,L,7.4666666666667,0,0,0,0.0,0,0,0,0,0,0,0,0.02,0.31,20072008,0.2939333333333344,0.2939333333333344,0.2939333333333344,0.2939333333333344,-0.2939333333333344,0.2939333333333344,-0.27393333333333436,-0.01606666666666562,0.0,0.0,-0.571208333333334,0.3871412500000011,-0.18406708333333288,1972-02-01,35.76712328767123,1076,0.08162881055418977,0.05963379065009589,0.05963379065009589,0.06226616575457067,0.07121247002881884,0.07429994282159881,1,0.07121247002881884
13,2007-11-05,Geoff Sanderson,away,Edmonton Oilers,Minnesota Wild,L,8.45,0,0,0,0.07,0,0,0,0,0,0,0,0.17,0.26,20072008,0.32539999999999997,0.32539999999999997,0.32539999999999997,0.32539999999999997,-0.32539999999999997,0.32539999999999997,-0.15539999999999995,0.06539999999999996,0.035,0.0,-0.497125,0.5057712499999999,0.043646249999999887,1972-02-01,35.78356164383562,1077,0.06068926785826093,0.05842609592516587,0.05842609592516587,0.06801492805307212,0.05426213974563702,0.0528432596759638,1,0.05426213974563702
14,2007-11-07,Geoff Sanderson,away,Edmonton Oilers,Colorado Avalanche,L,4.0333333333333,0,0,0,0.0,0,0,0,0,0,0,0,0.02,0.13,20072008,0.1840666666666656,0.1840666666666656,0.1840666666666656,0.1840666666666656,-0.1840666666666656,0.1840666666666656,-0.1640666666666656,0.0540666666666656,0.0,0.0,-0.502541666666666,0.5757212499999989,0.07317958333333285,1972-02-01,35.78904109589041,1078,0.05943094574724223,0.05947521297517209,0.05947521297517209,0.0676243438756275,0.043794544553583885,0.04101645657701451,1,0.043794544553583885
15,2007-11-10,Geoff Sanderson,away,Edmonton Oilers,Calgary Flames,L,10.283333333333,0,0,0,0.0,0,1,0,0,1,0,0,0.19,0.93,20072008,0.38406666666665595,0.38406666666665595,0.38406666666665595,0.38406666666665595,-0.38406666666665595,0.38406666666665595,-0.19406666666665595,-0.545933333333344,0.0,-0.16,-0.52129166666666,-0.5705287500000115,-1.2518204166666715,1972-02-01,35.797260273972604,1079,0.06037960921123261,-0.028737774545920268,-0.028737774545920268,-0.03285046430150597,0.03242728431392562,0.033990158036544295,1,0.03242728431392562
16,2007-11-14,Geoff Sanderson,away,Edmonton Oilers,Vancouver Canucks,L,12.233333333333,0,0,0,0.05,0,0,0,0,0,0,0,0.41,0.19,20072008,0.446466666666656,0.446466666666656,0.446466666666656,0.446466666666656,-0.446466666666656,0.446466666666656,-0.036466666666656045,0.256466666666656,0.025,0.0,-0.42279166666666007,0.7541612499999886,0.3563695833333285,1972-02-01,35.80821917808219,1080,-0.02477346343534403,-0.004121514849533117,-0.004121514849533117,-0.004804838318511982,0.01992032508222893,0.03626792743308815,1,0.01992032508222893
17,2007-11-15,Geoff Sanderson,home,Edmonton Oilers,Minnesota Wild,L,10.633333333333,0,0,0,0.07,1,0,1,0,0,0,1,0.23,0.2,20072008,0.395266666666656,0.395266666666656,0.395266666666656,0.395266666666656,-0.395266666666656,-0.604733333333344,-0.165266666666656,0.19526666666665599,0.085,0.15,-0.50329166666666,0.24494124999998856,-0.02335041666667148,1972-02-01,35.81095890410959,1081,-0.0013799796610945555,-0.005293994785807235,-0.005293994785807235,-0.006121595017926936,0.020994599519727604,0.05372548716947041,1,0.020994599519727604
18,2007-11-17,Geoff Sanderson,home,Edmonton Oilers,Calgary Flames,L,11.65,0,0,1,0.0,0,0,0,0,0,1,2,0.51,0.75,20072008,0.4278,0.4278,0.4278,0.4278,0.5722,-1.5722,0.0822,-0.3222,0.55,0.0,0.27637500000000004,-1.09278875,-0.2664137499999999,1972-02-01,35.81643835616438,1082,-0.002652769659064011,-0.020535634875987703,-0.020535634875987703,-0.02331650014694182,0.04642373121544531,0.09275980627059197,1,0.04642373121544531
19,2007-11-20,Geoff Sanderson,home,Edmonton Oilers,Vancouver Canucks,L,13.216666666667,0,1,0,0.28,0,0,0,2,2,1,0,0.33,0.08,20072008,0.47793333333334403,0.47793333333334403,0.47793333333334403,0.47793333333334403,0.522066666666656,0.47793333333334403,-0.14793333333334402,0.397933333333344,0.84,0.0,0.13254166666666,0.9747912500000113,1.9473329166666713,1972-02-01,35.824657534246576,1083,-0.017148419538630673,0.08977371369320747,0.08977371369320747,0.1025037119473707,0.08533584280773597,0.1409065284888173,1,0.08533584280773597
20,2007-11-22,Geoff Sanderson,home,Edmonton Oilers,Colorado Avalanche,L,9.4666666666667,0,0,0,0.14,1,0,0,0,1,0,0,0.07,0.08,20072008,0.35793333333333444,0.35793333333333444,0.35793333333333444,0.35793333333333444,-0.35793333333333444,0.35793333333333444,-0.28793333333333443,0.2779333333333344,0.12000000000000001,-0.01,-0.579958333333334,0.8465412500000011,0.3765829166666671,1972-02-01,35.83013698630137,1084,0.08574718327615981,0.10525794866456534,0.10525794866456534,0.1206287282829927,0.13679595690879304,0.19713289638646947,1,0.13679595690879304
