,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2007-10-04,Craig Conroy,home,Calgary Flames,Philadelphia Flyers,C,14.416666666667,0,0,0,0.11,0,0,0,5,7,0,1,0.37,0.16,20072008,0.5163333333333441,0.5163333333333441,0.5163333333333441,0.5163333333333441,-0.5163333333333441,-0.4836666666666559,-0.14633333333334408,0.35633333333334405,0.055,-0.02,-0.4914583333333401,0.4423312500000114,-0.014127083333328683,1971-09-04,36.106849315068494,768,0.0,-0.013941246641949291,-0.013941246641949291,-0.01656220101063576,0.529895679827184,0.5953621090625731,1.0,0.529895679827184
1,2007-10-10,Craig Conroy,away,Calgary Flames,Detroit Red Wings,C,19.9,0,0,0,0.12,0,0,0,7,12,1,0,0.34,0.6,20072008,0.6918,0.6918,0.6918,0.6918,0.30820000000000003,0.6918,-0.35179999999999995,0.09179999999999999,0.06,-0.05,0.005125000000000046,0.31936125000000004,0.3344862500000001,1971-09-04,36.12328767123287,769,-0.014127083333328683,0.1592084852345828,0.1592084852345828,0.1683119912633002,0.530856432492475,0.5932738260773909,1.0,0.530856432492475
2,2007-10-12,Craig Conroy,away,Calgary Flames,Dallas Stars,C,16.966666666667,0,0,1,0.0,1,0,1,13,11,1,0,0.24,0.47,20072008,0.597933333333344,0.597933333333344,0.597933333333344,0.597933333333344,0.402066666666656,0.597933333333344,-0.357933333333344,0.127933333333344,0.6000000000000001,0.16999999999999998,0.001291666666659974,0.4400412500000114,1.2113329166666715,1971-09-04,36.12876712328767,770,0.16117759669712328,0.5089613826943798,0.5089613826943798,0.615066107348253,0.531824979194959,0.5914736393000884,1.0,0.531824979194959
3,2007-10-13,Craig Conroy,away,Calgary Flames,Nashville Predators,C,15.916666666667,1,0,0,0.45,1,0,0,10,12,1,0,0.54,0.23,20072008,0.564333333333344,0.564333333333344,0.564333333333344,0.564333333333344,0.435666666666656,0.564333333333344,-0.024333333333343976,0.33433333333334403,1.025,-0.02,0.20979166666665994,0.8121312500000114,2.0269229166666713,1971-09-04,36.131506849315066,771,0.5134560461500538,0.8885420973080693,0.8885420973080693,1.086650784517955,0.5327938163103937,0.590037060616787,1.0,0.5327938163103937
4,2007-10-16,Craig Conroy,away,Calgary Flames,Colorado Avalanche,C,18.5,0,0,0,0.2,3,0,1,14,7,3,0,0.84,0.27,20072008,0.647,0.647,0.647,0.647,2.3529999999999998,0.647,0.19299999999999995,0.377,0.25,0.22,1.595625,0.83248125,2.8981062499999997,1971-09-04,36.13972602739726,772,0.8941685636392461,1.2918340478980006,1.2918340478980006,1.4858881930886554,0.5337569086736266,0.5890105640572731,1.0,0.5337569086736266
5,2007-10-18,Craig Conroy,home,Calgary Flames,Los Angeles Kings,C,18.933333333333,1,0,0,0.02,0,1,0,13,13,1,0,0.32,0.29,20072008,0.660866666666656,0.660866666666656,0.660866666666656,0.660866666666656,0.33913333333334394,0.660866666666656,-0.34086666666665605,0.3708666666666561,0.76,-0.15,0.011958333333339899,0.8133012499999887,1.4352595833333286,1971-09-04,36.14520547945205,773,1.298787272199042,1.3159073861188655,1.3159073861188655,1.6972519297881385,0.5347096178262368,0.5884163582635336,1.0,0.5347096178262368
6,2007-10-20,Craig Conroy,home,Calgary Flames,Edmonton Oilers,C,17.6,0,0,0,0.02,0,0,0,14,13,0,0,0.38,0.51,20072008,0.6182000000000001,0.6182000000000001,0.6182000000000001,0.6182000000000001,-0.6182000000000001,0.6182000000000001,-0.23820000000000008,0.10820000000000007,0.01,0.01,-0.548875,0.39370125000000006,-0.13517374999999993,1971-09-04,36.15068493150685,774,1.3217864604638128,1.1062769256416236,1.1062769256416236,1.3538103655773879,0.5356485430293405,0.5882575643830016,1.0,0.5356485430293405
7,2007-10-22,Craig Conroy,home,Calgary Flames,San Jose Sharks,C,15.65,0,0,0,0.04,0,0,3,4,11,0,1,0.12,0.9,20072008,0.5558000000000001,0.5558000000000001,0.5558000000000001,0.5558000000000001,-0.5558000000000001,-0.44419999999999993,-0.4358000000000001,-0.34419999999999995,0.02,0.37999999999999995,-0.6723750000000001,-0.77348875,-1.04586375,1971-09-04,36.156164383561645,775,1.1109744248025355,0.8329495380415719,0.8329495380415719,0.9845383132517943,0.5365713261334346,0.5885230905774683,1.0,0.5365713261334346
8,2007-10-24,Craig Conroy,home,Calgary Flames,Minnesota Wild,C,15.5,0,0,0,0.16,0,3,0,7,9,0,0,0.33,0.12,20072008,0.551,0.551,0.551,0.551,-0.551,0.551,-0.22100000000000003,0.43100000000000005,0.08,-0.47,-0.5381250000000001,0.98488125,0.05675624999999995,1971-09-04,36.16164383561644,776,0.8374323856305413,0.7448609310899176,0.7448609310899176,0.844538441250716,0.5374764534419899,0.5891918490077017,1.0,0.5374764534419899
9,2007-10-26,Craig Conroy,home,Calgary Flames,Colorado Avalanche,C,16.266666666667,0,0,0,0.24,0,0,0,11,9,0,2,0.66,0.74,20072008,0.575533333333344,0.575533333333344,0.575533333333344,0.575533333333344,-0.575533333333344,-1.424466666666656,0.08446666666665603,-0.164466666666656,0.12,0.02,-0.34720833333334,-0.9178987499999886,-1.1251070833333285,1971-09-04,36.16712328767123,777,0.7492683180581526,0.5527441158251487,0.5527441158251487,0.6431447864412082,0.5383213174137734,0.5902740704210713,1.0,0.5383213174137734
