,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2013-03-14,Tyler Johnson,home,Tampa Bay Lightning,New York Islanders,C,11.65,0,0,0,0.0,0,0,0,2,4,0,0,0.21,0.33,20122013,0.4278,0.4278,0.4278,0.4278,-0.4278,0.4278,-0.21780000000000002,0.0978,0.0,-0.02,-0.5361250000000001,0.49621125,-0.0599137500000001,1990-07-29,22.64109589041096,1,0.0,-0.005631842579149254,-0.005631842579149254,-0.0057477170302760415,0.43424714648678037,0.48968318753644663,1.0451583870583085,0.4538570472067964
1,2013-03-16,Tyler Johnson,home,Tampa Bay Lightning,Carolina Hurricanes,C,8.9333333333333,1,0,1,0.17,0,0,0,6,0,2,0,0.49,0.21,20122013,0.3408666666666656,0.3408666666666656,0.3408666666666656,0.3408666666666656,1.6591333333333345,0.3408666666666656,0.1491333333333344,0.1308666666666656,1.385,0.06,0.943208333333334,0.6073012499999988,2.995509583333333,1990-07-29,22.646575342465752,2,-0.005655337035499592,0.2547734183216187,0.2547734183216187,0.2463777982903253,0.43778138676788636,0.49368760860608274,1.044820878450776,0.45740313309222197
2,2013-03-18,Tyler Johnson,home,Tampa Bay Lightning,Philadelphia Flyers,C,12.2,0,1,0,0.1,0,0,0,8,0,2,0,0.42,0.03,20122013,0.44539999999999996,0.44539999999999996,0.44539999999999996,0.44539999999999996,1.5546,0.44539999999999996,-0.025399999999999978,0.4154,0.75,0.08,0.8341249999999999,1.02502125,2.68914625,1990-07-29,22.65205479452055,3,0.25409955786447297,0.45122376481538096,0.45122376481538096,0.460818837401117,0.441317940395067,0.4976920489066893,1.0444849344480531,0.46094994004429135
3,2013-03-20,Tyler Johnson,away,Tampa Bay Lightning,Toronto Maple Leafs,C,15.433333333333,0,1,0,0.15,2,0,0,4,5,1,0,0.36,0.22,20122013,0.5488666666666561,0.5488666666666561,0.5488666666666561,0.5488666666666561,0.45113333333334393,0.5488666666666561,-0.18886666666665608,0.3288666666666561,0.8749999999999999,-0.01,0.10695833333333993,0.8126012499999886,1.7845595833333285,1990-07-29,22.65753424657534,4,0.448750443556232,0.5519436109647452,0.5519436109647452,0.5603425453123736,0.44485692844389035,0.5016965077580073,1.0441505507633784,0.46449760684559294
4,2013-03-23,Tyler Johnson,away,Tampa Bay Lightning,Ottawa Senators,C,16.166666666667,2,0,0,0.34,0,0,0,7,3,2,0,0.5,0.53,20122013,0.572333333333344,0.572333333333344,0.572333333333344,0.572333333333344,1.427666666666656,0.572333333333344,-0.07233333333334402,0.04233333333334399,1.67,0.04,0.8047916666666598,0.3106812500000114,2.8254729166666714,1990-07-29,22.665753424657535,5,0.5479774337364383,0.7136137498486761,0.7136137498486761,0.6920778973331014,0.4483984513867579,0.5057009844189413,1.0436518915049344,0.46797189193767325
5,2013-03-24,Tyler Johnson,away,Tampa Bay Lightning,Winnipeg Jets,C,14.783333333333,0,0,0,0.0,1,1,0,7,8,0,0,0.26,0.53,20122013,0.528066666666656,0.528066666666656,0.528066666666656,0.528066666666656,-0.528066666666656,0.528066666666656,-0.268066666666656,-0.0019333333333440006,0.05,-0.16,-0.5675416666666601,0.2633712499999886,-0.4141704166666714,1990-07-29,22.66849315068493,6,0.70629851197431,0.6377458766106051,0.6377458766106051,0.6381588717468492,0.45194259007594506,0.5097054780988542,1.0434864473016592,0.471595967702658
6,2013-03-26,Tyler Johnson,home,Tampa Bay Lightning,Buffalo Sabres,C,14.833333333333,0,0,0,0.0,0,1,0,8,4,0,0,0.31,0.26,20122013,0.5296666666666561,0.5296666666666561,0.5296666666666561,0.5296666666666561,-0.5296666666666561,0.5296666666666561,-0.21966666666665607,0.26966666666665606,0.0,-0.10999999999999999,-0.5372916666666601,0.7240812499999887,0.07678958333332864,1990-07-29,22.673972602739727,7,0.6333411819166137,0.6018892628349579,0.6018892628349579,0.6136521380672878,0.45548940686900574,0.5137099879680393,1.0431567190511966,0.4751468352320476
7,2013-03-29,Tyler Johnson,home,Tampa Bay Lightning,New Jersey Devils,C,14.433333333333,0,0,0,0.02,0,0,1,6,3,0,0,0.14,0.35,20122013,0.516866666666656,0.516866666666656,0.516866666666656,0.516866666666656,-0.516866666666656,0.516866666666656,-0.376866666666656,0.16686666666665606,0.01,0.18,-0.63554166666666,0.5574012499999886,0.11185958333332863,1990-07-29,22.682191780821917,8,0.5991955615937249,0.5720097630664163,0.5720097630664163,0.5564981388812169,0.4590389468523763,0.5177145131673194,1.0426650191868176,0.47862385232732946
8,2013-04-02,Tyler Johnson,home,Tampa Bay Lightning,Florida Panthers,C,16.883333333333,0,0,0,0.11,0,0,1,7,5,0,0,0.21,0.56,20122013,0.5952666666666561,0.5952666666666561,0.5952666666666561,0.5952666666666561,-0.5952666666666561,0.5952666666666561,-0.3852666666666561,0.03526666666665601,0.055,0.16999999999999998,-0.6407916666666601,0.28419124999998857,-0.13160041666667155,1990-07-29,22.693150684931506,9,0.5708724438665033,0.5309398213667466,0.5309398213667466,0.5423625773942227,0.4625912391252476,0.5217190528167568,1.0420147967899631,0.48202691603391207
9,2013-04-04,Tyler Johnson,away,Tampa Bay Lightning,Carolina Hurricanes,C,10.7,0,0,0,0.11,1,0,0,4,6,0,0,0.14,0.45,20122013,0.3974,0.3974,0.3974,0.3974,-0.3974,0.3974,-0.25739999999999996,-0.052600000000000036,0.10500000000000001,-0.02,-0.560875,0.2597212499999999,-0.2161537500000001,1990-07-29,22.698630136986303,10,0.5320090550821802,0.48906131016583576,0.48906131016583576,0.47241338808431543,0.4661462981116944,0.5257236060234735,1.0416919808618677,0.4855808606513976
