,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2007-10-03,Nicklas Lidstrom,home,Detroit Red Wings,Anaheim Ducks,D,34.183333333333,0,0,1,0.47,1,0,0,0,0,0,0,1.04,0.47,20072008,1.148866666666656,1.148866666666656,1.148866666666656,1.148866666666656,-1.148866666666656,1.148866666666656,-0.10886666666665601,0.6788666666666561,0.8350000000000001,0.0,-0.234866666666656,1.6204958333333181,2.2206291666666624,1970-04-28,37.45753424657534,1177,0.0,2.1914175900533692,2.1914175900533692,2.486593582957604,1.9458510703102625,2.063344455367302,1.0,1.9458510703102625
1,2007-10-08,Nicklas Lidstrom,home,Detroit Red Wings,Edmonton Oilers,D,26.166666666667,0,0,2,0.0,0,1,0,0,0,2,1,1.81,0.32,20072008,0.892333333333344,0.892333333333344,0.892333333333344,0.892333333333344,1.1076666666666561,-0.10766666666665603,0.9176666666666561,0.572333333333344,1.1,-0.15,2.053666666666656,1.0217291666666821,4.025395833333338,1970-04-28,37.47123287671233,1178,2.2206291666666624,3.102806169174733,3.102806169174733,3.4327758659652914,1.9382586303415288,2.0696834355689546,1.0,1.9382586303415288
2,2007-10-10,Nicklas Lidstrom,home,Detroit Red Wings,Calgary Flames,D,26.766666666667,0,0,0,0.06,3,0,0,0,0,1,0,1.01,0.61,20072008,0.9115333333333441,0.9115333333333441,0.9115333333333441,0.9115333333333441,0.08846666666665592,0.9115333333333441,0.09846666666665593,0.3015333333333441,0.18000000000000002,0.0,0.3544666666666558,0.9573291666666821,1.491795833333338,1970-04-28,37.47671232876712,1179,3.1273180994846754,2.5672653947520097,2.5672653947520097,3.271172775138183,1.930928072607453,2.0756177049048237,1.0,1.930928072607453
3,2007-10-12,Nicklas Lidstrom,home,Detroit Red Wings,Chicago Blackhawks,D,26.15,0,0,0,0.19,1,0,0,0,0,1,0,0.36,0.16,20072008,0.8918,0.8918,0.8918,0.8918,0.10819999999999996,0.8918,-0.5318,0.7318,0.14500000000000002,0.0,-0.6658000000000001,1.9639624999999998,1.4431624999999997,1970-04-28,37.48219178082192,1180,2.5790222117892907,2.286172777752221,2.286172777752221,2.848369166382321,1.9238708224485639,2.081091235136006,1.0,1.9238708224485639
4,2007-10-14,Nicklas Lidstrom,away,Detroit Red Wings,Los Angeles Kings,D,24.266666666667,0,0,0,0.08,1,0,0,0,0,3,0,1.07,0.28,20072008,0.831533333333344,0.831533333333344,0.831533333333344,0.831533333333344,2.168466666666656,0.831533333333344,0.23846666666665606,0.551533333333344,0.09,0.0,1.330466666666656,1.601329166666682,3.0217958333333383,1970-04-28,37.487671232876714,1181,2.2930234483161573,2.433802230928337,2.433802230928337,3.102619023582818,1.9170935127478093,2.0860622791371344,1.0,1.9170935127478093
5,2007-10-15,Nicklas Lidstrom,away,Detroit Red Wings,Anaheim Ducks,D,32.95,0,0,0,0.63,1,1,0,0,0,0,0,0.5,0.17,20072008,1.1094,1.1094,1.1094,1.1094,-1.1094,1.1094,-0.6093999999999999,0.9393999999999999,0.365,-0.15,-1.0594,2.2537624999999997,1.4093624999999999,1970-04-28,37.49041095890411,1182,2.4400593840820743,2.2618545784083306,2.2618545784083306,2.7550842888859215,1.9105985113278563,2.090502055604571,1.0,1.9105985113278563
6,2007-10-18,Nicklas Lidstrom,away,Detroit Red Wings,San Jose Sharks,D,29.866666666667,0,0,0,0.41,2,0,0,0,0,0,1,0.79,0.38,20072008,1.0107333333333441,1.0107333333333441,1.0107333333333441,1.0107333333333441,-1.0107333333333441,0.010733333333344142,-0.2207333333333441,0.6307333333333441,0.305,0.0,-0.49673333333334413,1.0539291666666823,0.8621958333333382,1970-04-28,37.4986301369863,1183,2.2667448453151433,2.0596528545089754,2.0596528545089754,2.4312648159224426,1.904384503746754,2.0943932529653857,1.0,1.904384503746754
7,2007-10-20,Nicklas Lidstrom,away,Detroit Red Wings,Phoenix Coyotes,D,27.433333333333,0,0,1,0.1,2,0,0,0,0,1,1,0.47,0.59,20072008,0.9328666666666561,0.9328666666666561,0.9328666666666561,0.9328666666666561,0.06713333333334393,-0.06713333333334393,-0.4628666666666561,0.3428666666666561,0.7000000000000001,0.0,-0.5308666666666562,0.4589958333333183,0.6281291666666622,1970-04-28,37.50410958904109,1184,2.063570394051281,1.8778456732619224,1.8778456732619224,2.1668220145170785,1.898447087220779,2.0977284720535883,1.0,1.898447087220779
8,2007-10-24,Nicklas Lidstrom,home,Detroit Red Wings,Vancouver Canucks,D,27.0,0,0,1,0.24,0,0,0,0,0,0,0,0.76,0.23,20072008,0.919,0.919,0.919,0.919,-0.919,0.919,-0.15900000000000003,0.6890000000000001,0.67,0.0,-0.45300000000000007,1.8420625000000002,2.0590625,1970-04-28,37.515068493150686,1185,1.8815621462990113,1.898411604544108,1.898411604544108,2.2760744619608757,1.892779344657649,2.1005086942975457,1.0,1.892779344657649
9,2007-10-26,Nicklas Lidstrom,home,Detroit Red Wings,San Jose Sharks,D,24.883333333333,0,0,1,0.08,1,0,0,0,0,3,0,1.39,0.35,20072008,0.8512666666666561,0.8512666666666561,0.8512666666666561,0.8512666666666561,2.148733333333344,0.8512666666666561,0.5387333333333438,0.5012666666666561,0.6400000000000001,0.0,1.8227333333333435,1.4686958333333182,3.931429166666662,1970-04-28,37.52054794520548,1186,1.9016716208523576,2.107279807850139,2.107279807850139,2.4632874496730413,1.8873723787046464,2.1027418342536603,1.0,1.8873723787046464
