,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2007-10-04,Braydon Coburn,away,Philadelphia Flyers,Calgary Flames,D,19.116666666667,0,0,0,0.09,0,0,1,0,0,0,0,0.49,0.37,20072008,0.6667333333333441,0.6667333333333441,0.6667333333333441,0.6667333333333441,-0.6667333333333441,0.6667333333333441,-0.17673333333334407,0.29673333333334406,0.045,0.15,-0.6327333333333441,1.157429166666682,0.7196958333333379,1985-02-27,22.613698630136987,59,0.0,0.7102284939462566,0.7102284939462566,0.8437514508081532,0.4610880432441557,0.3463115551177073,1.0468695506249335,0.48269903262953917
1,2007-10-06,Braydon Coburn,away,Philadelphia Flyers,Edmonton Oilers,D,19.783333333333,0,0,1,0.03,2,0,0,0,0,1,2,0.84,0.59,20072008,0.6880666666666561,0.6880666666666561,0.6880666666666561,0.6880666666666561,0.31193333333334394,-1.3119333333333438,0.1519333333333439,0.09806666666665609,0.665,0.0,0.3059333333333438,-0.46790416666668166,0.5030291666666622,1985-02-27,22.61917808219178,60,0.7196958333333379,0.6072615688062268,0.6072615688062268,0.67901646628426,0.46136326302269715,0.3492783823904642,1.0465241539809829,0.48282779851273383
2,2007-10-10,Braydon Coburn,away,Philadelphia Flyers,Vancouver Canucks,D,18.716666666667,0,0,0,0.01,0,0,0,0,0,1,0,0.29,0.79,20072008,0.653933333333344,0.653933333333344,0.653933333333344,0.653933333333344,0.346066666666656,0.653933333333344,-0.36393333333334404,-0.136066666666656,0.005,0.0,-0.539933333333344,0.173029166666682,-0.36190416666666203,1985-02-27,22.63013698630137,61,0.6111557395689147,0.2850862500190617,0.2850862500190617,0.3809548474671046,0.461637375684372,0.35221315975084116,1.0458381153359124,0.48279796295436017
3,2007-10-13,Braydon Coburn,home,Philadelphia Flyers,New York Islanders,D,22.25,0,0,0,0.0,2,0,0,0,0,1,0,0.0,0.0,20072008,0.767,0.767,0.767,0.767,0.23299999999999998,0.767,-0.767,0.767,0.1,0.0,-1.117,2.1525625,1.1355625000000003,1985-02-27,22.638356164383563,62,0.2847360685162272,0.497755922803819,0.497755922803819,0.6403774245005234,0.4619102509908012,0.3551151857494771,1.045327729434012,0.4828475938705088
4,2007-10-16,Braydon Coburn,home,Philadelphia Flyers,Atlanta Thrashers,D,21.383333333333,0,0,0,0.0,2,0,0,0,0,2,0,0.99,0.3,20072008,0.7392666666666561,0.7392666666666561,0.7392666666666561,0.7392666666666561,1.260733333333344,0.7392666666666561,0.2507333333333439,0.4392666666666561,0.1,0.0,0.8947333333333438,1.4226958333333182,2.417429166666662,1985-02-27,22.646575342465752,63,0.4993750036617355,0.8830080014576283,0.8830080014576283,1.1324226561615944,0.4621817689085808,0.35798387063952797,1.044820878450776,0.4828971617949969
5,2007-10-18,Braydon Coburn,home,Philadelphia Flyers,New Jersey Devils,D,17.833333333333,0,0,0,0.03,0,1,0,0,0,2,0,0.48,0.33,20072008,0.6256666666666562,0.6256666666666562,0.6256666666666562,0.6256666666666562,1.3743333333333438,0.6256666666666562,-0.14566666666665617,0.29566666666665614,0.015,-0.15,0.19233333333334368,1.1903958333333182,1.247729166666662,1985-02-27,22.65205479452055,64,0.8875384055392544,0.944224826897642,0.944224826897642,1.1116148636201733,0.46245181947160235,0.36081873257383135,1.0444849344480531,0.4830239583461795
6,2007-10-20,Braydon Coburn,home,Philadelphia Flyers,Carolina Hurricanes,D,18.15,0,0,1,0.04,0,0,0,0,0,1,0,0.98,0.7,20072008,0.6358,0.6358,0.6358,0.6358,0.36419999999999997,0.6358,0.34419999999999995,-0.06419999999999992,0.5700000000000001,0.0,0.5821999999999996,0.3539625000000003,1.5061624999999998,1985-02-27,22.65753424657534,65,0.9483554303363297,1.0254051621937295,1.0254051621937295,1.1556708704195164,0.46272030258135527,0.36361939328747317,1.0441505507633784,0.4831496587897192
7,2007-10-24,Braydon Coburn,away,Philadelphia Flyers,Florida Panthers,D,18.85,0,0,0,0.02,0,0,0,0,0,1,1,0.56,1.1,20072008,0.6582000000000001,0.6582000000000001,0.6582000000000001,0.6582000000000001,0.3417999999999999,-0.3417999999999999,-0.09820000000000007,-0.44179999999999997,0.01,0.0,-0.11220000000000008,-1.1088374999999997,-1.2110374999999998,1985-02-27,22.66849315068493,66,1.0291974114357658,0.7413712060061424,0.7413712060061424,0.9121150278626924,0.46298712775483614,0.36638557337602434,1.0434864473016592,0.4831207930872934
8,2007-10-25,Braydon Coburn,away,Philadelphia Flyers,Tampa Bay Lightning,D,21.633333333333,0,0,0,0.0,0,0,0,0,0,0,0,0.4,0.42,20072008,0.747266666666656,0.747266666666656,0.747266666666656,0.747266666666656,-0.747266666666656,0.747266666666656,-0.34726666666665595,0.327266666666656,0.0,0.0,-0.857266666666656,1.158195833333318,0.30092916666666203,1985-02-27,22.671232876712327,67,0.7437259765461885,0.6913863294475568,0.6913863294475568,0.7873115132402301,0.4632522138289754,0.3691170872688166,1.0433213899925753,0.4833209436491843
9,2007-10-27,Braydon Coburn,away,Philadelphia Flyers,Boston Bruins,D,19.9,0,0,0,0.05,0,0,0,0,0,0,0,0.34,0.84,20072008,0.6918,0.6918,0.6918,0.6918,-0.6918,0.6918,-0.35179999999999995,-0.1482,0.025,0.0,-0.8977999999999999,0.11246250000000013,-0.7603374999999998,1985-02-27,22.676712328767124,68,0.6935934723703071,0.5422390945182683,0.5422390945182683,0.651669621662767,0.46351548862976677,0.37181383798597445,1.0429924339522445,0.4834431476605244
