,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2016-03-26,Dean Kukan,away,Columbus Blue Jackets,Nashville Predators,D,14.75,0,0,0,0.0,0,0,0,0,0,0,0,0.16,0.7,20152016,0.527,0.527,0.527,0.527,-0.527,0.527,-0.367,-0.17299999999999993,0.0,0.0,-1.021,0.19756250000000009,-0.8234374999999998,1993-07-08,22.731506849315068,1,0.0,-0.07740243890205846,-0.07740243890205846,-0.0747903405788791,0.12735695886260973,0.08872880169337875,1.0397869607611112,0.13242410518753084
1,2016-03-28,Dean Kukan,away,Columbus Blue Jackets,Washington Capitals,D,11.816666666667,0,0,0,0.0,2,0,1,0,0,0,1,0.31,0.59,20152016,0.43313333333334403,0.43313333333334403,0.43313333333334403,0.43313333333334403,-0.43313333333334403,-0.566866666666656,-0.12313333333334403,-0.15686666666665594,0.1,0.15,-0.687133333333344,-0.2593708333333178,-0.6965041666666618,1993-07-08,22.736986301369864,2,-0.07772534001242096,-0.13112111591963366,-0.13112111591963366,-0.1252026617909197,0.15334990465665668,0.11191011156920454,1.0394747321631364,0.1594033510702207
2,2016-03-31,Dean Kukan,away,Columbus Blue Jackets,New York Islanders,D,14.366666666667,0,0,0,0.0,1,0,0,0,0,0,1,0.59,0.3,20152016,0.514733333333344,0.514733333333344,0.514733333333344,0.514733333333344,-0.514733333333344,-0.48526666666665597,0.07526666666665593,0.21473333333334405,0.05,0.0,-0.3207333333333441,0.5249291666666822,0.2541958333333381,1993-07-08,22.745205479452054,3,-0.13128148682495516,-0.1000265985944147,-0.1000265985944147,-0.09710916365217526,0.17840090457256436,0.1350388061129064,1.0390091937327854,0.1853601800211397
3,2016-04-02,Dean Kukan,away,Columbus Blue Jackets,Carolina Hurricanes,D,21.283333333333,0,0,0,0.0,2,0,0,0,0,3,0,0.67,0.88,20152016,0.7360666666666561,0.7360666666666561,0.7360666666666561,0.7360666666666561,2.263933333333344,0.7360666666666561,-0.06606666666665606,-0.1439333333333439,0.1,0.0,0.785933333333344,0.08409583333331816,0.9700291666666622,1993-07-08,22.75068493150685,4,-0.10041334529524695,-0.01919486021950724,-0.01919486021950724,-0.01858253961780481,0.20243899539917914,0.15822592066894092,1.0387006986425482,0.21027352595362298
4,2016-04-04,Dean Kukan,home,Columbus Blue Jackets,New York Rangers,D,21.95,0,0,0,0.08,1,0,0,0,0,1,0,1.06,0.67,20152016,0.7574000000000001,0.7574000000000001,0.7574000000000001,0.7574000000000001,0.24259999999999993,0.7574000000000001,0.3026,0.08740000000000003,0.09,0.0,0.5886,0.5977625000000001,1.2763625,1993-07-08,22.756164383561643,5,-0.02076905877573879,0.07293192162292893,0.07293192162292893,0.07071704751417877,0.2254890851390771,0.18154328664477742,1.0383936900422197,0.2341464431818105
5,2016-04-06,Dean Kukan,away,Columbus Blue Jackets,Toronto Maple Leafs,D,16.116666666667,0,0,0,0.02,2,0,0,0,0,4,0,0.93,0.53,20152016,0.5707333333333441,0.5707333333333441,0.5707333333333441,0.5707333333333441,3.429266666666656,0.5707333333333441,0.35926666666665596,0.04073333333334406,0.11,0.0,1.7672666666666563,0.651429166666682,2.5286958333333382,1993-07-08,22.76164383561644,6,0.06937783837818408,0.23813514994271512,0.23813514994271512,0.23289451877862574,0.24763410398788716,0.2050313247274555,1.0380881640088702,0.25706603235476744
6,2016-04-08,Dean Kukan,away,Columbus Blue Jackets,Buffalo Sabres,D,19.966666666667,0,0,0,0.0,0,0,0,0,0,0,0,0.42,0.41,20152016,0.6939333333333441,0.6939333333333441,0.6939333333333441,0.6939333333333441,-0.6939333333333441,0.6939333333333441,-0.2739333333333441,0.2839333333333441,0.0,0.0,-0.7719333333333441,1.104529166666682,0.332595833333338,1993-07-08,22.767123287671232,7,0.22975837703229463,0.24417312523938778,0.24417312523938778,0.24270096196779292,0.26922786249249525,0.2290523992567662,1.0377841166376076,0.2794003994510055
7,2016-04-09,Dean Kukan,home,Columbus Blue Jackets,Chicago Blackhawks,D,18.583333333333,0,0,0,0.07,2,0,0,0,0,2,0,0.84,0.26,20152016,0.6496666666666561,0.6496666666666561,0.6496666666666561,0.6496666666666561,1.350333333333344,0.6496666666666561,0.1903333333333439,0.38966666666665606,0.135,0.0,0.7443333333333437,1.385895833333318,2.2652291666666615,1993-07-08,22.76986301369863,8,0.23607678638733445,0.3674067701554509,0.3674067701554509,0.35603629557152644,0.2911289125896555,0.2546855135346757,1.0376326462349263,0.3020848639659008
8,2018-01-25,Dean Kukan,away,Columbus Blue Jackets,Arizona Coyotes,D,13.56666667,0,0,0,0.0,3,0,0,0,0,0,0,0.11,0.42,20172018,0.48913333344,0.48913333344,0.48913333344,0.48913333344,-0.48913333344,0.48913333344,-0.37913333344,0.06913333344,0.15000000000000002,0.0,-1.0631333334400002,0.78712916682,-0.12600416662000014,1993-07-08,24.567123287671233,9,0.35374419744288865,0.338606222649111,0.338606222649111,0.4018083768787379,0.3134838391489054,0.2820063054622832,1.0,0.3134838391489054
9,2018-01-30,Dean Kukan,home,Columbus Blue Jackets,Minnesota Wild,D,12.08333333,0,1,0,0.04,0,0,0,0,0,1,0,0.25,0.6,20172018,0.44166666656000003,0.44166666656000003,0.44166666656000003,0.44166666656000003,0.55833333344,0.44166666656000003,-0.19166666656000003,-0.15833333343999995,0.72,0.0,-0.39166666656000004,0.30489583318000024,0.6332291666200002,1993-07-08,24.58082191780822,10,0.27285283361082757,0.355121383175199,0.355121383175199,0.3726666136246308,0.33593607132638215,0.3103435335976901,1.0,0.33593607132638215
10,2018-02-02,Dean Kukan,home,Columbus Blue Jackets,San Jose Sharks,D,10.13333333,0,0,1,0.01,0,0,0,0,0,1,1,0.79,0.34,20172018,0.37926666655999997,0.37926666655999997,0.37926666655999997,0.37926666655999997,0.62073333344,-0.62073333344,0.41073333344000007,0.03926666655999994,0.555,0.0,0.5347333334400002,0.23819583318000004,1.3279291666200004,1993-07-08,24.589041095890412,11,0.32527542918309776,0.4076412610056849,0.4076412610056849,0.42473038608731756,0.35801263650570875,0.33882882680844384,1.0,0.35801263650570875
11,2018-02-03,Dean Kukan,away,Columbus Blue Jackets,New York Islanders,D,13.23333333,0,0,0,0.0,2,0,1,0,0,1,1,0.94,1.0,20172018,0.47846666656000003,0.47846666656000003,0.47846666656000003,0.47846666656000003,0.52153333344,-0.52153333344,0.4615333334399999,-0.52153333344,0.1,0.15,0.6755333334399998,-1.1372041668199995,-0.2116708333799997,1993-07-08,24.59178082191781,12,0.4532433140963757,0.3753539295930716,0.3753539295930716,0.40258772383486374,0.3793222998480199,0.3667166250875419,1.0,0.3793222998480199
12,2018-02-06,Dean Kukan,home,Columbus Blue Jackets,Washington Capitals,D,13.96666667,0,0,0,0.0,0,0,0,0,0,1,0,1.34,0.19,20172018,0.50193333344,0.50193333344,0.50193333344,0.50193333344,0.49806666656,0.50193333344,0.8380666665600001,0.31193333344,0.0,0.0,1.2920666665600002,1.33452916682,2.62659583338,1993-07-08,24.6,13,0.3778584318036504,0.4889645585293235,0.4889645585293235,0.5161772963066332,0.3996231789122128,0.3935048232526408,1.0,0.3996231789122128
13,2018-02-09,Dean Kukan,away,Columbus Blue Jackets,Washington Capitals,D,11.53333333,0,0,0,0.09,0,1,1,0,0,0,1,0.3,0.58,20172018,0.42406666655999997,0.42406666655999997,0.42406666655999997,0.42406666655999997,-0.42406666655999997,-0.5759333334400001,-0.12406666655999998,-0.15593333344,0.045,0.0,-0.6940666665599999,-0.24940416682,-0.8984708333799999,1993-07-08,24.60821917808219,14,0.608028363575275,0.4210369822120075,0.4210369822120075,0.44332779657996346,0.41881499913127507,0.4189335233420989,1.0,0.41881499913127507
