,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2021-04-27,Joe Veleno,away,Detroit Red Wings,Columbus Blue Jackets,C,14.983333333333,0,0,0,0.31,2,0,0,4,3,0,0,0.81,0.58,20202021,0.534466666666656,0.534466666666656,0.534466666666656,0.534466666666656,-0.534466666666656,0.534466666666656,0.27553333333334407,-0.04553333333334397,0.255,0.01,-0.22779166666666,0.18521124999998867,0.22241958333332867,2000-01-13,21.301369863013697,1,0.0,0.02090725551068451,0.02090725551068451,0.020915717373967115,-0.03265289285426725,-0.028896701403081784,1.1894289059511796,-0.027452580554324865
1,2021-04-29,Joe Veleno,away,Detroit Red Wings,Carolina Hurricanes,C,13.966666666667,0,0,0,0.25,0,0,1,5,3,0,0,0.5,0.83,20202021,0.501933333333344,0.501933333333344,0.501933333333344,0.501933333333344,-0.501933333333344,0.501933333333344,-0.0019333333333440006,-0.32806666666665596,0.125,0.16999999999999998,-0.40120833333334005,-0.2745587499999885,-0.3807670833333286,2000-01-13,21.306849315068494,2,0.020994474674767633,-0.013945520869894135,-0.013945520869894135,-0.012469428272478357,-0.03352510135043363,-0.030393086627985462,1.1885056809820493,-0.028207775433376304
2,2021-05-01,Joe Veleno,home,Detroit Red Wings,Tampa Bay Lightning,C,13.6,0,0,0,0.0,1,1,0,1,6,0,0,0.12,0.39,20202021,0.49019999999999997,0.49019999999999997,0.49019999999999997,0.49019999999999997,-0.49019999999999997,0.49019999999999997,-0.3702,0.10019999999999996,0.05,-0.2,-0.631375,0.46090124999999993,-0.3204737500000001,2000-01-13,21.312328767123287,3,-0.013778533155277531,-0.03868190308675103,-0.03868190308675103,-0.0354392946600129,-0.03459005779196433,-0.03207621572272672,1.1875861222455604,-0.029126357359716644
3,2021-05-02,Joe Veleno,home,Detroit Red Wings,Tampa Bay Lightning,C,18.133333333333,0,0,0,0.29,0,1,0,2,3,0,0,0.36,1.19,20202021,0.635266666666656,0.635266666666656,0.635266666666656,0.635266666666656,-0.635266666666656,0.635266666666656,-0.275266666666656,-0.554733333333344,0.145,-0.16,-0.57204166666666,-0.7440587500000112,-1.3311004166666711,2000-01-13,21.315068493150687,4,-0.038294899017607666,-0.1363108665035223,-0.1363108665035223,-0.124474753504422,-0.03588546893948996,-0.03397765575406113,1.187127712771462,-0.030228819151826507
4,2021-05-07,Joe Veleno,away,Detroit Red Wings,Columbus Blue Jackets,C,14.833333333333,1,0,0,0.2,1,0,0,5,2,0,0,0.5,0.41,20202021,0.5296666666666561,0.5296666666666561,0.5296666666666561,0.5296666666666561,-0.5296666666666561,0.5296666666666561,-0.029666666666656072,0.1196666666666561,0.9,0.03,-0.41854166666666004,0.4690812499999887,0.9805395833333287,2000-01-13,21.328767123287673,5,-0.1341579493527348,-0.05689189139514639,-0.05689189139514639,-0.05547655113788765,-0.03741788783277797,-0.03610028876525211,1.1848492858605801,-0.031580293189441895
5,2021-10-30,Joe Veleno,away,Detroit Red Wings,Toronto Maple Leafs,C,12.466666666667,1,1,0,0.12,0,0,1,0,0,2,0,0.28,1.09,20212022,0.453933333333344,0.453933333333344,0.453933333333344,0.453933333333344,1.546066666666656,0.453933333333344,-0.173933333333344,-0.6360666666666561,1.51,0.15,0.7412916666666599,-0.7678587499999888,1.633432916666671,2000-01-13,21.81095890410959,6,-0.05652131623081423,0.05681900478230539,0.05681900478230539,0.07519423882614076,-0.03917365920867756,-0.03842868878790902,1.1174522957843223,-0.03505622509029093
6,2021-11-02,Joe Veleno,away,Detroit Red Wings,Montreal Canadiens,C,14.05,0,0,0,0.0,0,0,0,5,8,0,0,0.24,1.25,20212022,0.5046,0.5046,0.5046,0.5046,-0.5046,0.5046,-0.26460000000000006,-0.7454,0.0,-0.03,-0.5653750000000001,-0.98570875,-1.5810837500000001,2000-01-13,21.81917808219178,7,0.09354434474744955,-0.04787657878478728,-0.04787657878478728,-0.05766671337235416,-0.04110524045734822,-0.04091457316364898,1.1164945807099487,-0.03681633674496702
7,2021-11-04,Joe Veleno,away,Detroit Red Wings,Boston Bruins,C,14.766666666667,0,0,0,0.02,0,1,1,1,0,0,0,0.12,0.57,20212022,0.5275333333333441,0.5275333333333441,0.5275333333333441,0.5275333333333441,-0.5275333333333441,0.5275333333333441,-0.40753333333334407,-0.04246666666665588,0.01,0.01,-0.6547083333333401,0.19480125000001147,-0.4399070833333286,2000-01-13,21.824657534246576,8,-0.04375247453256925,-0.07178059084755148,-0.07178059084755148,-0.0804300186523806,-0.04311174490314369,-0.04345135228593312,1.115859266679565,-0.038635467921891486
8,2021-11-06,Joe Veleno,away,Detroit Red Wings,Buffalo Sabres,C,15.916666666667,0,0,0,0.09,0,1,0,9,4,0,0,0.29,0.24,20212022,0.564333333333344,0.564333333333344,0.564333333333344,0.564333333333344,-0.564333333333344,0.564333333333344,-0.27433333333334403,0.324333333333344,0.045,-0.09999999999999999,-0.5714583333333401,0.7951312500000114,0.1686729166666714,2000-01-13,21.83013698630137,9,-0.07387677079851812,-0.05774524596547995,-0.05774524596547995,-0.06727949822423512,-0.045153351641317355,-0.04598691258275542,1.115226472071531,-0.04048805580936856
9,2021-11-15,Joe Veleno,away,Detroit Red Wings,Columbus Blue Jackets,C,10.783333333333,0,0,0,0.1,0,0,0,3,2,0,1,0.23,0.27,20212022,0.40006666666665597,0.40006666666665597,0.40006666666665597,0.40006666666665597,-0.40006666666665597,-0.5999333333333441,-0.17006666666665596,0.13006666666665595,0.05,0.01,-0.50629166666666,0.13107124999998848,-0.31522041666667155,2000-01-13,21.854794520547944,10,-0.05667535539487717,-0.0721780790581811,-0.0721780790581811,-0.08208344948921256,-0.047235169921419996,-0.04851599641999269,1.1124098303446301,-0.042462021309885675
